,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
309,udah beli  di somethinc pas beli lagi ternyata ganti packaging nya pas dibuka knapa ada kotor nya bgini kan jadi takut ga higienis,sudah beli  di somethinc pas beli lagi ternyata ganti packaging nya pas dibuka knapa ada kotor nya begini kan jadi takut enggak higienis,"['sudah', 'beli', 'di', 'somethinc', 'pas', 'beli', 'lagi', 'ternyata', 'ganti', 'packaging', 'nya', 'pas', 'dibuka', 'knapa', 'ada', 'kotor', 'nya', 'begini', 'kan', 'jadi', 'takut', 'enggak', 'higienis']","['beli', 'somethinc', 'pas', 'beli', 'ganti', 'packaging', 'nya', 'pas', 'dibuka', 'knapa', 'kotor', 'nya', 'takut', 'higienis']","['beli', 'somethinc', 'pas', 'beli', 'ganti', 'packaging', 'nya', 'pas', 'buka', 'knapa', 'kotor', 'nya', 'takut', 'higienis']"
310,admin tidak ramah dan tidak membantu,admin tidak ramah dan tidak membantu,"['admin', 'tidak', 'ramah', 'dan', 'tidak', 'membantu']","['admin', 'ramah', 'membantu']","['admin', 'ramah', 'bantu']"
311,utk formula serumnya oke bgt tapi asli pipetnya jelek bgt yg ml ini susah ngambilnya atau produk yang gw terima defect ya terus botolnya jg ga transparan jd gatau deh itu isinya penuh atau engga,untuk formula serumnya oke banget tapi asli pipetnya jelek banget yang ml ini susah ngambilnya atau produk yang gue terima defect ya terus botolnya juga enggak transparan jadi enggak tau deh itu isinya penuh atau enggak,"['untuk', 'formula', 'serumnya', 'oke', 'banget', 'tapi', 'asli', 'pipetnya', 'jelek', 'banget', 'yang', 'ml', 'ini', 'susah', 'ngambilnya', 'atau', 'produk', 'yang', 'gue', 'terima', 'defect', 'ya', 'terus', 'botolnya', 'juga', 'enggak', 'transparan', 'jadi', 'enggak', 'tau', 'deh', 'itu', 'isinya', 'penuh', 'atau', 'enggak']","['formula', 'serumnya', 'oke', 'banget', 'asli', 'pipetnya', 'jelek', 'banget', 'ml', 'susah', 'ngambilnya', 'produk', 'gue', 'terima', 'defect', 'ya', 'botolnya', 'transparan', 'tau', 'deh', 'isinya', 'penuh']","['formula', 'serum', 'oke', 'banget', 'asli', 'pipet', 'jelek', 'banget', 'ml', 'susah', 'ngambilnya', 'produk', 'gue', 'terima', 'defect', 'ya', 'botol', 'transparan', 'tau', 'deh', 'isi', 'penuh']"
312,tidak sesuai promosinya ketika disemprotkan timbul bercak putih menggumpal pdhl sdh mengikuti petunjuk pemakaian akhirnya tidak terpakai,tidak sesuai promosinya ketika disemprotkan timbul bercak putih menggumpal padahal sudah mengikuti petunjuk pemakaian akhirnya tidak terpakai,"['tidak', 'sesuai', 'promosinya', 'ketika', 'disemprotkan', 'timbul', 'bercak', 'putih', 'menggumpal', 'padahal', 'sudah', 'mengikuti', 'petunjuk', 'pemakaian', 'akhirnya', 'tidak', 'terpakai']","['sesuai', 'promosinya', 'disemprotkan', 'timbul', 'bercak', 'putih', 'menggumpal', 'mengikuti', 'petunjuk', 'pemakaian', 'terpakai']","['sesuai', 'promosi', 'semprot', 'timbul', 'bercak', 'putih', 'gumpal', 'ikut', 'tunjuk', 'pakai', 'pakai']"
313,mohon maaf ini baru pertama kali ngasih penilaian gini karena overall selama ini belanja di somethinc selalu puas cuman kali ini paketan bolong dan kyk bener dibolongin ampe buble wrap nya di dalam ada item yg hilang salah satunya ini kemungkinan krna kurirnya ga bertanggung jawab,mohon maaf ini baru pertama kali mengasih penilaian begini karena overall selama ini belanja di somethinc selalu puas cuman kali ini paketan bolong dan kayak benar dibolongin sampai buble wrap nya di dalam ada item yang hilang salah satunya ini kemungkinan karena kurirnya enggak bertanggung jawab,"['mohon', 'maaf', 'ini', 'baru', 'pertama', 'kali', 'mengasih', 'penilaian', 'begini', 'karena', 'overall', 'selama', 'ini', 'belanja', 'di', 'somethinc', 'selalu', 'puas', 'cuman', 'kali', 'ini', 'paketan', 'bolong', 'dan', 'kayak', 'benar', 'dibolongin', 'sampai', 'buble', 'wrap', 'nya', 'di', 'dalam', 'ada', 'item', 'yang', 'hilang', 'salah', 'satunya', 'ini', 'kemungkinan', 'karena', 'kurirnya', 'enggak', 'bertanggung', 'jawab']","['mohon', 'maaf', 'kali', 'mengasih', 'penilaian', 'overall', 'belanja', 'somethinc', 'puas', 'cuman', 'kali', 'paketan', 'bolong', 'kayak', 'dibolongin', 'buble', 'wrap', 'nya', 'item', 'hilang', 'salah', 'satunya', 'kurirnya', 'bertanggung']","['mohon', 'maaf', 'kali', 'asih', 'nilai', 'overall', 'belanja', 'somethinc', 'puas', 'cuman', 'kali', 'paket', 'bolong', 'kayak', 'dibolongin', 'buble', 'wrap', 'nya', 'item', 'hilang', 'salah', 'satu', 'kurir', 'tanggung']"
314,beli nya memang pas diskon tp dikemasan expired masih lama karena waterproof berniat mau coba dan liat ulasan jg lumayan bagus tp pas coba sendiri ini seperti lem kelopak mata lengket dan luntur padahal kerja di ruang ac sy kira dijalan kali tadi keringetan  coba hari kedua ketiga kali jg sama cuma tahan jam udah luntur nyiplak ke atas karna lengket terus serasa mau buka mata itu susah buat yg ngantuk cocok sih buat ganjel tp sy now gak pake lagi,beli nya memang pas diskon tapi dikemasan expired masih lama karena waterproof berniat mau coba dan lihat ulasan juga lumayan bagus tapi pas coba sendiri ini seperti lem kelopak mata lengket dan luntur padahal kerja di ruang ac saya kira dijalan kali tadi keringetan  coba hari kedua ketiga kali juga sama cuma tahan jam sudah luntur nyiplak ke atas karena lengket terus serasa mau buka mata itu susah buat yang ngantuk cocok sih buat ganjel tapi saya now enggak pakai lagi,"['beli', 'nya', 'memang', 'pas', 'diskon', 'tapi', 'dikemasan', 'expired', 'masih', 'lama', 'karena', 'waterproof', 'berniat', 'mau', 'coba', 'dan', 'lihat', 'ulasan', 'juga', 'lumayan', 'bagus', 'tapi', 'pas', 'coba', 'sendiri', 'ini', 'seperti', 'lem', 'kelopak', 'mata', 'lengket', 'dan', 'luntur', 'padahal', 'kerja', 'di', 'ruang', 'ac', 'saya', 'kira', 'dijalan', 'kali', 'tadi', 'keringetan', 'coba', 'hari', 'kedua', 'ketiga', 'kali', 'juga', 'sama', 'cuma', 'tahan', 'jam', 'sudah', 'luntur', 'nyiplak', 'ke', 'atas', 'karena', 'lengket', 'terus', 'serasa', 'mau', 'buka', 'mata', 'itu', 'susah', 'buat', 'yang', 'ngantuk', 'cocok', 'sih', 'buat', 'ganjel', 'tapi', 'saya', 'now', 'enggak', 'pakai', 'lagi']","['beli', 'nya', 'pas', 'diskon', 'dikemasan', 'expired', 'waterproof', 'berniat', 'coba', 'lihat', 'ulasan', 'lumayan', 'bagus', 'pas', 'coba', 'lem', 'kelopak', 'mata', 'lengket', 'luntur', 'kerja', 'ruang', 'ac', 'dijalan', 'kali', 'keringetan', 'coba', 'ketiga', 'kali', 'tahan', 'jam', 'luntur', 'nyiplak', 'lengket', 'serasa', 'buka', 'mata', 'susah', 'ngantuk', 'cocok', 'sih', 'ganjel', 'now', 'pakai']","['beli', 'nya', 'pas', 'diskon', 'kemas', 'expired', 'waterproof', 'niat', 'coba', 'lihat', 'ulas', 'lumayan', 'bagus', 'pas', 'coba', 'lem', 'kelopak', 'mata', 'lengket', 'luntur', 'kerja', 'ruang', 'ac', 'jalan', 'kali', 'keringetan', 'coba', 'tiga', 'kali', 'tahan', 'jam', 'luntur', 'nyiplak', 'lengket', 'serasa', 'buka', 'mata', 'susah', 'ngantuk', 'cocok', 'sih', 'ganjel', 'now', 'pakai']"
315,ini jg kurang cocok tp ini jg tergantung sm tipe kulit,ini juga kurang cocok tapi ini juga tergantung sama tipe kulit,"['ini', 'juga', 'kurang', 'cocok', 'tapi', 'ini', 'juga', 'tergantung', 'sama', 'tipe', 'kulit']","['cocok', 'tergantung', 'tipe', 'kulit']","['cocok', 'gantung', 'tipe', 'kulit']"
316,ini jg ga cocok di aku padahal udah berharap sm produk ini,ini juga enggak cocok di aku padahal sudah berharap sama produk ini,"['ini', 'juga', 'enggak', 'cocok', 'di', 'aku', 'padahal', 'sudah', 'berharap', 'sama', 'produk', 'ini']","['cocok', 'berharap', 'produk']","['cocok', 'harap', 'produk']"
317,hmm katanya dpt gratisan nya pas beli dtgnya cuma barang tok beli pas kmrn pdhl,hmm katanya dapat gratisan nya pas beli dtgnya cuma barang tok beli pas kemarin padahal,"['hmm', 'katanya', 'dapat', 'gratisan', 'nya', 'pas', 'beli', 'dtgnya', 'cuma', 'barang', 'tok', 'beli', 'pas', 'kemarin', 'padahal']","['hmm', 'gratisan', 'nya', 'pas', 'beli', 'dtgnya', 'barang', 'tok', 'beli', 'pas', 'kemarin']","['hmm', 'gratis', 'nya', 'pas', 'beli', 'dtgnya', 'barang', 'tok', 'beli', 'pas', 'kemarin']"
318,revieuw jujur tutupnya ga kenceng hampir setengahnya bocor mohon diperhatikan ya krn sayang banget bubble wrap ya udh tebel tp nutupnya ga kenceng,revieuw jujur tutupnya enggak kencang hampir setengahnya bocor mohon diperhatikan ya karena sayang banget bubble wrap ya sudah tebal tapi nutupnya enggak kencang,"['revieuw', 'jujur', 'tutupnya', 'enggak', 'kencang', 'hampir', 'setengahnya', 'bocor', 'mohon', 'diperhatikan', 'ya', 'karena', 'sayang', 'banget', 'bubble', 'wrap', 'ya', 'sudah', 'tebal', 'tapi', 'nutupnya', 'enggak', 'kencang']","['revieuw', 'jujur', 'tutupnya', 'kencang', 'setengahnya', 'bocor', 'mohon', 'diperhatikan', 'ya', 'sayang', 'banget', 'bubble', 'wrap', 'ya', 'tebal', 'nutupnya', 'kencang']","['revieuw', 'jujur', 'tutup', 'kencang', 'tengah', 'bocor', 'mohon', 'perhati', 'ya', 'sayang', 'banget', 'bubble', 'wrap', 'ya', 'tebal', 'nutupnya', 'kencang']"
