,Review
0,pengiriman yg sangat lambat sungguh mengecewakan jng pakai jasa yg udah merugikan konsumen
1,kecewa bgt pelayanannya krg bisa membantu udah kyk chat sama robot
2,salah kirim harusnya glow maker
3,pesanan belum diterima dan amsih ajukan komplain kok udah terima pesanan jadi selesai
4,malah muncul jerawat pas pake ini sekali sebelumnya ga ada
5,klo beli selalu lama pengiriman nya kenapa ya sama si somethinc ini ada masalahkan sama kalian ada masalahkah dg packing kalian ada masalahkah dg karyawan kalian saya beli dari jam pagi sampe nya malah hari loh padahal jarak pengiriman masih di satu kecamatan tolong diperbaiki management somethinc untuk ke kalinya saya kasih bintang karena kecewa dg pelayanan kalian
6,saya kasih bintang itu aja harus nya gak mau saya kasih bintang ni pembelian ke saya saya sangat kecewa karena pengiriman sangatttttttttt lama respon penjual sangat lelet saya pikir pembelian ke lebih cepat ternyata sama aja management nya perlu diperbaiki ditambah semua barang tidak ada yg free ongkir penjual sangat pelit kikir tolong lebih care ke customer gimana barang anda mau laku kalo semua nya gak ada yg gratis ongkir kalah sama brand lain yg udah ngasih pelayanan terbaik note ini pembelian saya terakhir dan tidak mau beli disini lagi bye
7,kecewa bgt sama somethinc pakai produk ini mukaku keluar beruntusan parah kulitnya disentuh aja jadi sakit trs aku konsultasi ke wa nya dijawab sekali trus gak pernah dijawab lagi please  ini muka orang pelayanannya diperbaiki jangan cuma bisa jual doank
8,no review found
9,irritated my eyelids takes  while to absorb
10,pengiriman lama bye
11,kecewa bnget kemasan botol nya pecah isi serum nya tumpah padahal packing rapi tolong di pastikan sebelum ngirim serum di periksa dulu kemasan nya
12,muka kok malah nambah jerawat ya baunya juga menyengat gk suka
13,admin somethinc asal skli aku pesen serum mata tpi serum matanya tdk termasuk bisa dilihat di invoice aku salah asal percaya aja jdi aku terima notifnya barang smpai aku percaya sekelas somethinc pasti pelayanan prima skrng tiba tiba stok hbis jdi gimana ini tanggung jawabnya sudah aku wanti wanti dng sopan cek smua pesanan dan dikemas aman bkin kecewa
14,beli di ksih
15,botolnya pecah so disappointed yg ini paraaaaah produknya bocor
16,ini juga sama botolnya pecah next time kalo packaging rusak jangan dikasih ke customer dong
17,sy gak cocok sama serum yg ini setelah bbrp kali pakai tiap malam wajah jd brutusan dan muncul jerawat kecil
18,produk lama menyerap  kulit terasa lengket bgt  pakeny
19,ancur
