,Review,Review_norm,review_tokens,review_tokens_SR
114,produk yg dikirim salah beli vit  malah dikirim niacinamide udah niat mau dipake barengan sama retinolnya malah gatot ok ok ga bisa klaim krn ga ada video unboxing fine but you actually owe me smt lhoo ntar disono kutagih ya  disono mana nih  next time bikin packaging gausah mirip warnanya jd bingung sendiri kan pas customer order pdhl beli di official store buat meminimalisir kesalahan  malah lebih fatal hadoo yodah segitu aja bye azarine tokped love  so much guys,produk yang dikirim salah beli vit  malah dikirim niacinamide sudah niat mau dipakai barengan sama retinolnya malah gatot ok ok enggak bisa klaim karena enggak ada video unboxing fine but you actually owe me smt loh entar disono kutagih ya  disono mana nih  next time bikin packaging enggak usah mirip warnanya jadi bingung sendiri kan pas customer order padahal beli di official store buat meminimalisir kesalahan  malah lebih fatal hadoo yodah segitu saja bye azarine tokped love  so much guys,"['produk', 'yang', 'dikirim', 'salah', 'beli', 'vit', 'malah', 'dikirim', 'niacinamide', 'sudah', 'niat', 'mau', 'dipakai', 'barengan', 'sama', 'retinolnya', 'malah', 'gatot', 'ok', 'ok', 'enggak', 'bisa', 'klaim', 'karena', 'enggak', 'ada', 'video', 'unboxing', 'fine', 'but', 'you', 'actually', 'owe', 'me', 'smt', 'loh', 'entar', 'disono', 'kutagih', 'ya', 'disono', 'mana', 'nih', 'next', 'time', 'bikin', 'packaging', 'enggak', 'usah', 'mirip', 'warnanya', 'jadi', 'bingung', 'sendiri', 'kan', 'pas', 'customer', 'order', 'padahal', 'beli', 'di', 'official', 'store', 'buat', 'meminimalisir', 'kesalahan', 'malah', 'lebih', 'fatal', 'hadoo', 'yodah', 'segitu', 'saja', 'bye', 'azarine', 'tokped', 'love', 'so', 'much', 'guys']","['produk', 'dikirim', 'salah', 'beli', 'vit', 'dikirim', 'niacinamide', 'niat', 'dipakai', 'barengan', 'retinolnya', 'gatot', 'ok', 'ok', 'klaim', 'video', 'unboxing', 'fine', 'but', 'you', 'actually', 'owe', 'me', 'smt', 'loh', 'entar', 'disono', 'kutagih', 'ya', 'disono', 'nih', 'next', 'time', 'bikin', 'packaging', 'warnanya', 'bingung', 'pas', 'customer', 'order', 'beli', 'official', 'store', 'meminimalisir', 'kesalahan', 'fatal', 'hadoo', 'yodah', 'segitu', 'bye', 'azarine', 'tokped', 'love', 'so', 'much', 'guys']"
115,beli yg day malah di kirim night lain kali lebih hati hati min,beli yang day malah di kirim night lain kali lebih hati hati min,"['beli', 'yang', 'day', 'malah', 'di', 'kirim', 'night', 'lain', 'kali', 'lebih', 'hati', 'hati', 'min']","['beli', 'day', 'kirim', 'night', 'kali', 'hati', 'hati', 'min']"
116,pesen tgl sampe tgl lama proses di toko nya,pesan tanggal sampai tanggal lama proses di toko nya,"['pesan', 'tanggal', 'sampai', 'tanggal', 'lama', 'proses', 'di', 'toko', 'nya']","['pesan', 'tanggal', 'tanggal', 'proses', 'toko', 'nya']"
117,beli ss yg dikirim malah scrub huhh,beli ss yang dikirim malah scrub huhh,"['beli', 'ss', 'yang', 'dikirim', 'malah', 'scrub', 'huhh']","['beli', 'ss', 'dikirim', 'scrub', 'huhh']"
118,isinya kosong kalau misal sudah sesuai dengan berat produk di kemasan harusnya jangan banyak ruang yang kosong sama aja bikin konsumen rugi,isinya kosong kalau misal sudah sesuai dengan berat produk di kemasan harusnya jangan banyak ruang yang kosong sama saja bikin konsumen rugi,"['isinya', 'kosong', 'kalau', 'misal', 'sudah', 'sesuai', 'dengan', 'berat', 'produk', 'di', 'kemasan', 'harusnya', 'jangan', 'banyak', 'ruang', 'yang', 'kosong', 'sama', 'saja', 'bikin', 'konsumen', 'rugi']","['isinya', 'kosong', 'sesuai', 'berat', 'produk', 'kemasan', 'ruang', 'kosong', 'bikin', 'konsumen', 'rugi']"
119,lama,lama,['lama'],[]
120,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,"['saya', 'pesan', 'dua', 'paket', 'twin', 'pack', 'dan', 'lagi', 'yang', 'ini', 'harusanya', 'saya', 'terima', 'produk', 'tapi', 'saya', 'hanya', 'terima', 'saya', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'bisa', 'klaim', 'mohon', 'untuk', 'setelahnya', 'lebih', 'berhati', 'dan', 'memperhatikan', 'produk', 'yang', 'akan', 'dikirim', 'apa', 'sudah', 'sesuai', 'dengan', 'pesanan', 'atau', 'belum']","['pesan', 'paket', 'twin', 'pack', 'harusanya', 'terima', 'produk', 'terima', 'video', 'unboxing', 'klaim', 'mohon', 'setelahnya', 'berhati', 'memperhatikan', 'produk', 'dikirim', 'sesuai', 'pesanan']"
121,pelayanan admin nya jelek,pelayanan admin nya jelek,"['pelayanan', 'admin', 'nya', 'jelek']","['pelayanan', 'admin', 'nya', 'jelek']"
122,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,"['agak', 'kesel', 'ya', 'aku', 'sudah', 'menunggu', 'barangnya', 'dan', 'yang', 'datang', 'salah', 'dong', 'produknya', 'mana', 'di', 'bungkusnya', 'sesuai', 'sama', 'produk', 'yang', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'di', 'video', 'tolong', 'banget', 'kalau', 'semisal', 'packing', 'di', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'selain', 'rugi', 'di', 'harga', 'aku', 'juga', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'ini', 'toko', 'mana', 'lama', 'juga', 'mana', 'ini', 'fotonya', 'enggak', 'bisa', 'dilampirkan', 'pula', 'ada', 'tulisan', 'ada', 'gangguan', 'di', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'di', 'cek', 'saja', 'di', 'data', 'gudang', 'seharusnya', 'data', 'pembelian', 'dan', 'produk', 'yang', 'ada', 'di', 'gudang', 'jumlahnya', 'beda']","['kesel', 'ya', 'menunggu', 'barangnya', 'salah', 'produknya', 'bungkusnya', 'sesuai', 'produk', 'pesan', 'alhasil', 'buka', 'video', 'tolong', 'banget', 'packing', 'cek', 'salah', 'kirim', 'kayak', 'rugi', 'harga', 'kehilangan', 'kepercayaan', 'toko', 'fotonya', 'dilampirkan', 'tulisan', 'gangguan', 'rumah', 'toped', 'tau', 'deh', 'serah', 'cek', 'data', 'gudang', 'data', 'pembelian', 'produk', 'gudang', 'beda']"
123,barang yang dikirim cuman harusnya karena saya beli twin pack,barang yang dikirim cuman harusnya karena saya beli twin pack,"['barang', 'yang', 'dikirim', 'cuman', 'harusnya', 'karena', 'saya', 'beli', 'twin', 'pack']","['barang', 'dikirim', 'cuman', 'beli', 'twin', 'pack']"
