,Review
108,bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh
109,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes
110,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt
111,tipe kulitku normal
112,exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc
113,
114,no review found
115,no review found
116,no review found
117,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout
118,belum dicoba smg cocok
119,tipe kulitku kombinasi
120,tipe kulitku kombinasi
121,sesuai deskripsi
122,sesuai deskripsi
123,tipe kulitku kombinasi
124,no review found
125,paket aman semoga cocok
126,masalah kulitku pori besar
127,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat
128,kiriman cepat packing bagus
129,sesuai dengan deskripsi
130,tipe kulitku berminyak tipe kulitku sensitif
131,bagus bangett kulit jadi lembut
132,sudah sampai packing aman dapet free penjepit bulu mata thank youu
133,sudah sampai packing aman dapet free penjepit bulu mata thank you
134,tipe kulitku kering
135,tipe kulitku berminyak
136,dapet harga rb pengiriman cepat teruntuk kurir gtl terima kasih tetap mau anter walaupun udah jam malem krn hujan seharian jadi harus lemburr
137,dapet harga rb pengiriman cepat teruntuk kurir gtr terima kasih tetap mau anter walaupun udah jam malem krn hujan seharian jadi harus lemburr
138,simple buat dibawa kemana mana dan bisa dipakai tanpa cuci tangan
139,sesuai namanya matte banget bener transferproof bisa tahan seharian
140,tipe kulitku kombinasi
141,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar wrappingnya rapih bubble wrap dan bersegel senangnya
142,bagussssssss bneran dpt kipas mini super lucuuuu semiga cocok acne hempasssss
143,tipe kulitku normal cocok pakai ini paket aman pelayanan oke ada bubble wrap
144,pas shadenya tahan seharian full coverage nahan minyak hasilnya ga kaya pake foundi tp alus alami tipe kulitku kombinasi
145,selalu jatuh cinta sama produk somethinc
146,jatuh cinta banget sama produk somethinc
147,bagus
148,bagus
149,semoga cocok packaging aman
150,tipe kulitku berminyak
151,kirimnya cpt brg sesuai lumayan dpt hrg flashsale packing oke bgt ada bubble plus dus sip
152,masalah kulitku jerawat baru mau coba smoga cocok
153,baru coba jadi belom ada koment
154,cepat sekali datangnya
155,paket sudah sampai packagingnya bagus meskipun order tp diberikan box jadi aman produk belum dicoba sering sering adain diskon ya kak thanks seller
156,pengemasan baik brang bagus belum dicoba semoga cocok
157,pengemasan baik tpi blum dicoba semoga cocok
158,tumben belanja banyak ga dapet bonus
159,no review found
160,pas dpt flash sale ok bener ringan dipakai tq ya gan
161,mantappp dapet pas flash sale cuma rban
162,ok sesuai pesanan somethinc ini lembut dan lembab tidak kering di bibir matte nya bagus
163,thank you somethinc buat giftnyaaa
164,no review found
165,tipe kulitku berminyak tipe kulitku kombinasi
166,isinya seuprit
167,packaging nya mantap
168,bgus bgt lg suka sm produk somethinc mksh
169,brg sesuai pesanan
170,ok
171,bagus lah istri tidak komplain
172,semoga cocok packing super aman pengiriman super cepat expired aman
173,tipe kulitku sensitif
174,tipe kulitku kombinasi masalah kulitku pori besar
175,imut bgt ternyata warna match untuk kulit sawo matsng ringan di gunakan ada sensasi sdikit aroma mint
176,loose powdernya oke banget sih super luv sama somethinc
177,pengiriman cpt aman tdk pecah pump up bottle lbh hygiene dari pipet texture cpt menyerap tdk lengket tdk berbau fragrance free ada sdikit rasa ketarik harus di layer pelembab yg netral soothing
178,tipe kulitku berminyak masalah kulitku jerawat cucok
179,kualitasnya okei banget ringan good coverage tapiiiiii kl keringetan jadi putih di muka
180,tipe kulitku sensitif pakai serum ini aman sih meskipun ada wanginya tapi aku suka banget mulai keliatan hasilnya seperti setelah pemakaian retinol gitu dapat harga rb oke sih
181,sesuai pesanan
182,pengirimannya agak lama
183,proses kirim cepat pesan same day jam malam dikirim hari itu jg nyampe malam pas bgt untungnya krn lg butuh buat besok paginya jarak expired cuma setahun
184,baru coba sekali dan tipis dulu ga jari bismillah semoga cocok dan berhasil baik
185,membantu banget ngurangi jerawat habis dipakek juga gaada sensasi ketarik terus busanya juga tipe yang gabanyak bubble nya
186,barang sesuai deskripsi kualitas terbaik original pengiriman ontime thanks
187,produknya ok produk cepat blend dgn warna kulit wajah sehingga terlihat natural dan tidak oily di wajah saya yg tipe berminyak
188,tipe kulitku kering tipe kulitku normal
189,sesuai order
190,teksturnya ringan kayak air cepat meresap dan minim fragrance aku suka serum ini karena ga bikin gampang break out tipe kulitku berminyak masalah kulitku pori besar
191,pengiriman ke medan cepat cuma sayangnya jasa pengirimannya kurir rekomendasi  kdg bermasalah nyasar lebih baik diperhatikan kembali bekerjasama dengan jasa pengiriman yg seperti apa baiknya karena untk ajukan komplain produk juga harus nunggu maksimal hari pembeli udh panik duluan dong klo paketnya malah nyampe ke rumah org yg ntah dmna tanpa ada kabar dari kurir tau dibilang udh diterima pembeli
192,pengiriman ke medan cepat cuma sayangnya jasa pengirimannya kurir rekomendasi  kdg bermasalah nyasar lebih baik diperhatikan kembali bekerjasama dengan jasa pengiriman yg seperti apa baiknya karena untk ajukan komplain produk juga harus nunggu maksimal hari pembeli udh panik duluan dong klo paketnya malah nyampe ke rumah org yg ntah dmna tanpa ada kabar dari kurir tau dibilang udh diterima pembeli
193,gatal dan panas banget ga bisa tidur sudah tanya admin chat sblmnya keluhan muka saya dan direkomendasi in beli ini cuma  pakai gatal banget tengah malem bangun ga kuat sampe cuci muka lagi
194,cepat banget nyampenya pesan kemarin hari ini sudah datang aja baru pertama kali pakai produk somethinc semoga cocok untuk wajahku dan bikin glowing tipe kulitku berminyak
195,penipu
196,tipe kulitku berminyak masalah kulitku jerawat
197,saya belum coba lama produk nya baru sekitar hari tapi rasanya nyaman nyaman saja admin fast respon dan packaging ok dibuatkan seolah barang premium
198,no review found
199,mantapp barangnya sdh diterima yoooo smoga berguna
200,produk sesuai deskripsi pack aman dan cepaat mantap
201,proses cepat pengiriman cepat produk sesuai terima kasih
202,no review found
