,Review,Review_norm
263,biasanya kiriman komplit tapi pas pesenan ini ko beli datengnya cuman,biasanya kiriman komplit tapi pas pesanan ini kok beli datengnya cuman
264,barang yg dikirim tidak sesuai,barang yang dikirim tidak sesuai
265,sedih beli acne solution dikirimnya masker kecewa sih sekelas avoskin toko besar tpi drama,sedih beli acne solution dikirimnya masker kecewa sih sekelas avoskin toko besar tapi drama
266,barang tidak sesuai,barang tidak sesuai
267,parah si kesalahan seller dikasi nya sheet mask,parah sih kesalahan seller dikasih nya sheet mask
268,sampah,sampah
269,kalau memang salah dari seller di cancel saja dari sana jangan dikirim dengan barang berbeda kan ga semua orang butuh apa yg dikirimkan makanya pas upload diskon benerin liatnya,kalau memang salah dari seller di cancel saja dari sana jangan dikirim dengan barang berbeda kan enggak semua orang butuh apa yang dikirimkan makanya pas upload diskon benerin lihatnya
270,expired bulan depan,expired bulan depan
271,ga cocokkkk,enggak cocok
272,benar kecewa pakai avoskin sudah lebih dr tahun baru kali ini kapok dgn servicenya silakan teman konsumen nilai sendiri dari bukti foto saya seriously pasti banyak yg udah percaya dgn brand ini sehingga tidak merekam proses membuka paket seperti saya tuhan maha tahu tentang kebenaran okelah saya rugi rb tapi jangan harap saya mau membeli lagi atau mempromosikan brand ini lagi ke lingkungan saya,benar kecewa pakai avoskin sudah lebih dari tahun baru kali ini kapok dengan servicenya silakan teman konsumen nilai sendiri dari bukti foto saya seriously pasti banyak yang sudah percaya dengan brand ini sehingga tidak merekam proses membuka paket seperti saya tuhan maha tahu tentang kebenaran okelah saya rugi ribu tapi jangan harap saya mau membeli lagi atau mempromosikan brand ini lagi ke lingkungan saya
273,dikirimi box kosong dan perlu nunggu serta follow up selama bulan,dikirimi box kosong dan perlu menunggu serta follow up selama bulan
274,barang yg dikirim beda dengan yg dipesan,barang yang dikirim beda dengan yang dipesan
275, never received the products for over month waiting and now waiting for tokopedia to make refund  waste of time, never received the products for over month waiting and now waiting for tokopedia tapi memakai refund  waste of time
276,bikin jerawatan sudah bulan pakai malah makin parah mending gk pakai,bikin jerawatan sudah bulan pakai malah makin parah mending enggak pakai
277,setelah pakai bulan malah jerawatan parah padahal dulu gk separah ini menyesal pakainya,setelah pakai bulan malah jerawatan parah padahal dulu enggak separah ini menyesal pakainya
278,pengiriman lama pesan toner dikirim serum serum yg dikirim exp bulan udah mo expired trik buat abisin barang exp refund ribet wong yg salah sapa yg buat rib,pengiriman lama pesan toner dikirim serum serum yang dikirim exp bulan sudah mau expired trik buat abisin barang exp refund ribet wong yang salah sapa yang buat rib
279,isinya seperti sudah expired baunya ga sedap beda dgn pembelian ku yg sblmnya please mau direfund atau tuker item baru aja rugi banget asli,isinya seperti sudah expired baunya enggak sedap beda dengan pembelian ku yang sebelumnya please mau direfund atau tuker item baru saja rugi banget asli
280,salah kirim yg dateng malah niacinamide tolong diperhatikan dalam mengemas barangnya,salah kirim yang datang malah niacinamide tolong diperhatikan dalam mengemas barangnya
281,semoga avoskin makin laris sehingga bisa mensejahterakan karyawannya biar makin semangat konsentrasi dalam bekerja,semoga avoskin makin laris sehingga bisa mensejahterakan karyawannya biar makin semangat konsentrasi dalam bekerja
282,pertama kali belanja di official store avoskin produknya ga ada masalah tapi logistiknya lama semoga jadi bahan evaluasi avoskin untuk bermitra dengan anteraja karena bisa mempengaruhi kepuasan pelanggan walaupun produknya tidak ada masalah ecommerce sebelah kurir bebas ongkir nya ga selambat ini,pertama kali belanja di official store avoskin produknya enggak ada masalah tapi logistiknya lama semoga jadi bahan evaluasi avoskin untuk bermitra dengan anteraja karena bisa mempengaruhi kepuasan pelanggan walaupun produknya tidak ada masalah ecommerce sebelah kurir bebas ongkir nya enggak selambat ini
283,beli pcs serum yg dikirim cuma di resi ditulis pcs sori saya kasih bintang dulu sampai komplain saya ditangani,beli pcs serum yang dikirim cuma di resi ditulis pcs sori saya kasih bintang dulu sampai komplain saya ditangani
284,baru nyoba udh pake seminggu sm skali gk ngurangin jerawat jerawat malah gk mati sm skali kering aja engga kempes engga malah merah gtu aja kya gk ngefek gtu sm skali pdhal cm jerawat krn after haid,baru mencoba sudah pakai seminggu sama sekali enggak ngurangin jerawat jerawat malah enggak mati sama sekali kering saja enggak kempes enggak malah merah begitu saja kaya enggak ngefek begitu sama sekali padahal cuma jerawat karena after haid
285,ini sudah kelima kalinya saya repurchase baik dari avoskin official store maupun dari official store lain namun baru kali ini produk yang saya terima warnanya kekuningan bahkan ketika dijejerkan dengan produk lama yg sudah hampir habis jauh sekali kelihatan bedanya ketika saya tanyakan hanya dijawab sedang ditanyakan ke bagian qc dan tidak ada update sampai sistem auto close pembelian ini sangat disayangkan ya avoskin ini padahal produknya bagus tapi kok kali ini jelek sekali kualitas barang yg dikirim dan customer servicenya,ini sudah kelima kalinya saya repurchase baik dari avoskin official store maupun dari official store lain namun baru kali ini produk yang saya terima warnanya kekuningan bahkan ketika dijejerkan dengan produk lama yang sudah hampir habis jauh sekali kelihatan bedanya ketika saya tanyakan hanya dijawab sedang ditanyakan ke bagian qc dan tidak ada update sampai sistem auto close pembelian ini sangat disayangkan ya avoskin ini padahal produknya bagus tapi kok kali ini jelek sekali kualitas barang yang dikirim dan customer servicenya
286,barang seperti sudah dibuka oleh kurir,barang seperti sudah dibuka oleh kurir
287,eww tidak dapat free tonner refining tonner yg ml padahal alasan beli gara gara itu baru kali ini kecewa sama avoskin kek ngk niat banget ngasih hadiah eww beda sama brand sebelah,eww tidak dapat free tonner refining tonner yang ml padahal alasan beli gara gara itu baru kali ini kecewa sama avoskin kayak enggak niat banget mengasih hadiah eww beda sama brand sebelah
288,gapaham karyawannya yg kurang teliti atau gimana harusnya ada barang free tapi gak diberikan padahal jelas tertera ada free barang lain,gapaham karyawannya yang kurang teliti atau bagaimana harusnya ada barang free tapi enggak diberikan padahal jelas tertera ada free barang lain
289,belinya harga normal tapi dapatnya stok lama exp padahal pemakaian refining serum kan ngga tiap hari dan hanya tipis mana harganya plg mahal diantara serum lainnya sebelumnya beli serum lain dpt yg exp rugi jatohnya,belinya harga normal tapi dapatnya stok lama exp padahal pemakaian refining serum kan enggak tiap hari dan hanya tipis mana harganya pulang mahal diantara serum lainnya sebelumnya beli serum lain dapat yang exp rugi jatohnya
290,saya dikasi produk yg sudah kepake kemasan luarnya masih utuh tersegel tapi isi dalamnya sudah hampir habis tinggal sisa pake  habis kecewa berat jadinya saya order baru lagi skrg di toko lain insyaallah gak ketipu lagi,saya dikasih produk yang sudah terpakai kemasan luarnya masih utuh tersegel tapi isi dalamnya sudah hampir habis tinggal sisa pakai  habis kecewa berat jadinya saya order baru lagi sekarang di toko lain insyaallah enggak tertipu lagi
291,tidak ada isinya,tidak ada isinya
292,saya gatal kalau pake sama perih yaa setelah bbrp kali pemakaian,saya gatal kalau pakai sama perih ya setelah beberapa kali pemakaian
293,isi nya tidak ada sheet mask hanya cairan,isi nya tidak ada sheet mask hanya cairan
294,barang hilang tidak sampai pesanan,barang hilang tidak sampai pesanan
295,exp nya bulan ya bukan nulis itu yang sesuai dg kenyataan barang,exp nya bulan ya bukan menulis itu yang sesuai dengan kenyataan barang
