,Review
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx
3,ga ada sabun nya ga sesuai deskripsi
4,ga sesuai harapan
5,nyesal beli disini
6,ga jelas
7,kalau ga da free ny di infokan lagi jangan asal acc aja
8,yang sebelumnya ada bekas jerawat malah jadi muncul di bagian yang ga pernah jerawat malah jadi jerawatan terus muncul bruntusan di beberapa bagian
9,cukup kecewa
10,sayang banget
11,mohon maaf tapi masih kurang
12,hasil pemakaian di apply biasa muncul whitecas di tap tap kok malah sperti itu ya
13,sejauh ini cukup mengecewakan
14,isinya cuma angin doang
15,udah di pencet ga keluar isinya
16,khusus ss agak kecewa susah keluar heran kenapa ngga ada versi besarnya juga ss nya
17,minta cancel krn slah pesen gk mau cancel padahal bs balasin message inbox
18,kalau memang gabisa dicancel bilang aja gabisa admin jangan suruh nunggu batal otomatis taunya udah tinggal jam lg batal malah diproses konfirmasi sampe ke admin hasilnya ga dicancel malah dikirim kalau mau habisin stock ya blg aja gausah suruh nunggu lah apa lah service tidak professional padahal official store belanja di official store lain gapernah ribet masalah cancel hanya di avoskin saja yang baru kayak gini poor service
19,dapat retinol sheet mask yg klau beli di seller lain cuma berkisar rb
20,sekelas avoskin yg hits kasi mystery box ke pembeli gini banget sheetmask beli di sebelah cuman rb tokopedia please saring lagi lah klo mau ajakin brand bikin mystery box brand lain lebih niat
21,kecewa banget pokoknya
22,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti
23,muka lamgsung breakout pake avoskin ini udah pengiriman lama banget terus sekalinya pake malah bikin breakout
24,selama belanja online paket ini paling lama nyampenya ternyata temen yang lain disini juga sama reviewnya semoga segera mungkin diperbaiki ya sistemnya
25,tim avo salah kirim barang yg dikirim toner dengan harga rb karena sdg musim pandemi saya malas kirim balik barang toh ongkir juga saya yg tanggung pastinya kan saya juga akhirnya memutuskan untuk tetap beli serum ini saya pikir hal normal klo kesalahan penjual untuk selisih bayar bukan tanggung jawab pembeli dong ya saya pikir jg rb walaupun avo juga kasih voucher untuk pembelian senilai rb saya kasih kabar cs kalau saya sudah beli serum dan dipastikan jgn ada salah kirim lagi yg saya dapatkan adalah saya diminta bayar kekurangan ya ampun bukan masalah rb sih cuma pake logika aja kalian yg salah kalian yg bkn ribet kemudian apakah diperbolehkan saya tokopedia untuk trf ke rekening seller ya
26,kecewa
27,tokok tidak amanah pembohong gak sesuai ucapan jualan asal laku aja kecewa
28,kecewa sama pembelian di toko ini saya dikirim barang rusak tapi tidak ada tanggubg jawab dan dipersulit liat deh serum nya mengkristal ga jelas gt dan tisp beli selalu aja isi produk di dalamnya berdebu
29,belum terlihat manfaatnya
30,suncreen spf isinya kosong ngak ngerti dengan qcnya
31,dari awal menerima isi udah berkurang cukup bnyak kali prtama kecewa
32,gak ada isinya kecewa banget
33,bruntusan
34,ga cocok banget sm kulitku sedih bawah mata bengkak pdahal baru pake kali spertinya alergi sm bbrp bahan di dalamnya sayang banget
35,aku pesen pcs toner essence  dikabari ekspedisi dusnya rembes air sedih padahal tonerku udh tiris jdinya kutolak paketnya ujungnya duit dibalikin huft bikin lama lagi di video yg dikirimin ekspedisi terlihat tonernya ini aman gak berkurang sama skali tp mau ga mau kubalikin nya
36,bocor paket basah sedih
37,ga kebayang kalo sunscreen ml itu stlh dipencet isinya hampir ga ada maaf ya tapi mending ganti sku yg lbh banyak ml nya
38,udah pede ga akan ada masalah karena dari official store jadi pas buka ga divideo taunya ada satu yg atasnya udah sobek gitu dan tentunya semua essencenya kering sudah lesson learned jaman skrg memang semua paket harus video unboxing bahkan dari toko terpercaya sekalipun
39,hasilnya belom nampak udah minggu pemakaian
40,segel plastik  sdh gk ada pas  buka krtas dlm  udh robek kek udh di unboxing
41,tutup tidak rapat bocor sampai isinya habis proses komplain ribet sekali harus kirim balik kemasan kosongnya
42,no review found
43,tidak diberikan bonus sesuai deskripsi
44,timbul banyak jerawat kecil
45,gak cocok bikin gatal dan iritasi pas pemakaian minggu coba berhenti minggu trus pake lagi ternyata sama aja gatal dan iritasi jd breakout gitu
46,kok bisa isinya kosong aduhhh
47,aku senang dapat pc nya yoongi tapi aku kecewa sama barangnya aku mau coba make sunscreennya udah aku pencet kok gak mau keluar ternyata isinya udah mau habis
48,promonya serum toner tp dikirim duanya serum
49,saya sudah checkout yang ada free guasha tapi pas sampai guashanya tidak ada harusnya yang dapat guasha sesuai yang sudah checkout duluan bukan bayar duluan
50,sebenernya gue suka sama produk avoskin cuman kalo lagi butuh tu pas kita travelling sla eta estimasi pengiriman tu ngga sesuai mana ngga ada keterangan pengiriman barang  lagi sampe gue baca lagi tu diskripsi ngga ada juga keterangan barang dikirim  gue beli biasanya di copi sih tapi karena copi ngga bisa milih kurir akhir kesini lhaa malah lebih parah pas ngajuin komplain pun ngga ditanggepin barang tetep dikirim ketika ditanya jawaban mereka templated
51,lama nya minta ampunnnn
52,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa
53,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget
54,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian
55,pengiriman lama seller salah kirim barang barang yg dikirim berlebih saya disuruh bungkus pake kardus dan bubble wrap terus saya dilempar dari satu cs ke cs yg lain dan terus menerus harus mengulang informasi yang sama mana saya punya kan saya gak jualan online habis itu di tanggal yg dijadwalkan dipick up barangnya gak dipick up padahal sudah whatsappan saya disuruh nungguin sampe gak keluar apartemen seharian malah gak dateng yg pick upnya sudah saya bilang besoknya saya ke luar kota  ditelpon terus sama anter aja disuruh kirim barangnya asap bad experience sekali sungguh mengecewakan
