,Review,Review_norm,review_tokens
13,sejauh ini cukup mengecewakan,sejauh ini cukup mengecewakan,"['sejauh', 'ini', 'cukup', 'mengecewakan']"
14,isinya cuma angin doang,isinya cuma angin doang,"['isinya', 'cuma', 'angin', 'doang']"
15,udah di pencet ga keluar isinya,sudah di pencet enggak keluar isinya,"['sudah', 'di', 'pencet', 'enggak', 'keluar', 'isinya']"
16,khusus ss agak kecewa susah keluar heran kenapa ngga ada versi besarnya juga ss nya,khusus ss agak kecewa susah keluar heran kenapa enggak ada versi besarnya juga ss nya,"['khusus', 'ss', 'agak', 'kecewa', 'susah', 'keluar', 'heran', 'kenapa', 'enggak', 'ada', 'versi', 'besarnya', 'juga', 'ss', 'nya']"
17,minta cancel krn slah pesen gk mau cancel padahal bs balasin message inbox,meminta cancel karena salah pesan enggak mau cancel padahal bisa balasin message inbox,"['meminta', 'cancel', 'karena', 'salah', 'pesan', 'enggak', 'mau', 'cancel', 'padahal', 'bisa', 'balasin', 'message', 'inbox']"
18,kalau memang gabisa dicancel bilang aja gabisa admin jangan suruh nunggu batal otomatis taunya udah tinggal jam lg batal malah diproses konfirmasi sampe ke admin hasilnya ga dicancel malah dikirim kalau mau habisin stock ya blg aja gausah suruh nunggu lah apa lah service tidak professional padahal official store belanja di official store lain gapernah ribet masalah cancel hanya di avoskin saja yang baru kayak gini poor service,kalau memang enggak bisa dicancel bilang saja enggak bisa admin jangan suruh menunggu batal otomatis taunya sudah tinggal jam lagi batal malah diproses konfirmasi sampai ke admin hasilnya enggak dicancel malah dikirim kalau mau habisin stock ya bilang saja enggak usah suruh menunggu lah apa lah service tidak professional padahal official store belanja di official store lain enggak pernah ribet masalah cancel hanya di avoskin saja yang baru kayak begini poor service,"['kalau', 'memang', 'enggak', 'bisa', 'dicancel', 'bilang', 'saja', 'enggak', 'bisa', 'admin', 'jangan', 'suruh', 'menunggu', 'batal', 'otomatis', 'taunya', 'sudah', 'tinggal', 'jam', 'lagi', 'batal', 'malah', 'diproses', 'konfirmasi', 'sampai', 'ke', 'admin', 'hasilnya', 'enggak', 'dicancel', 'malah', 'dikirim', 'kalau', 'mau', 'habisin', 'stock', 'ya', 'bilang', 'saja', 'enggak', 'usah', 'suruh', 'menunggu', 'lah', 'apa', 'lah', 'service', 'tidak', 'professional', 'padahal', 'official', 'store', 'belanja', 'di', 'official', 'store', 'lain', 'enggak', 'pernah', 'ribet', 'masalah', 'cancel', 'hanya', 'di', 'avoskin', 'saja', 'yang', 'baru', 'kayak', 'begini', 'poor', 'service']"
19,dapat retinol sheet mask yg klau beli di seller lain cuma berkisar rb,dapat retinol sheet mask yang kalau beli di seller lain cuma berkisar ribu,"['dapat', 'retinol', 'sheet', 'mask', 'yang', 'kalau', 'beli', 'di', 'seller', 'lain', 'cuma', 'berkisar', 'ribu']"
20,sekelas avoskin yg hits kasi mystery box ke pembeli gini banget sheetmask beli di sebelah cuman rb tokopedia please saring lagi lah klo mau ajakin brand bikin mystery box brand lain lebih niat,sekelas avoskin yang hits kasih mystery box ke pembeli begini banget sheetmask beli di sebelah cuman ribu tokopedia please saring lagi lah kalo mau mengajak brand bikin mystery box brand lain lebih niat,"['sekelas', 'avoskin', 'yang', 'hits', 'kasih', 'mystery', 'box', 'ke', 'pembeli', 'begini', 'banget', 'sheetmask', 'beli', 'di', 'sebelah', 'cuman', 'ribu', 'tokopedia', 'please', 'saring', 'lagi', 'lah', 'kalo', 'mau', 'mengajak', 'brand', 'bikin', 'mystery', 'box', 'brand', 'lain', 'lebih', 'niat']"
21,kecewa banget pokoknya,kecewa banget pokoknya,"['kecewa', 'banget', 'pokoknya']"
22,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,kecewaaaaa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,"['kecewaaaaa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'mengerti']"
23,muka lamgsung breakout pake avoskin ini udah pengiriman lama banget terus sekalinya pake malah bikin breakout,muka lamgsung breakout pakai avoskin ini sudah pengiriman lama banget terus sekalinya pakai malah bikin breakout,"['muka', 'lamgsung', 'breakout', 'pakai', 'avoskin', 'ini', 'sudah', 'pengiriman', 'lama', 'banget', 'terus', 'sekalinya', 'pakai', 'malah', 'bikin', 'breakout']"
24,selama belanja online paket ini paling lama nyampenya ternyata temen yang lain disini juga sama reviewnya semoga segera mungkin diperbaiki ya sistemnya,selama belanja online paket ini paling lama sampainya ternyata teman yang lain disini juga sama reviewnya semoga segera mungkin diperbaiki ya sistemnya,"['selama', 'belanja', 'online', 'paket', 'ini', 'paling', 'lama', 'sampainya', 'ternyata', 'teman', 'yang', 'lain', 'disini', 'juga', 'sama', 'reviewnya', 'semoga', 'segera', 'mungkin', 'diperbaiki', 'ya', 'sistemnya']"
