,Review
51,pembelian kedua kenapa dapet barang kek gini yaa apa karna barang sale encer banget creamnya udah coba masukin kulkas tapi tetep gini aman ga ya tetep dipakenya
52,isinya kosong pertama kali beli barang begini karena officialnya store jdi gak buat video dari barang barang isinya kosong
53,no review found
54,hmm agak ragu dengan produk ini baru sekali saya pakai kok jadi ada kerak putihnya gini di kulit saya ya
55,unproffesional with handling complain
56,sunscreen tidak sesuai foto ternyata hanya yang ml tidak dapat free wallet juga fotonya bener missleading kecewa banget
57,syng banget kulit jd kemerahan dan gatel baru coba tonnernya padahal
58,barang tidak dikirim pesanannya kurang mengecewakan sekali qc nya
59,digambarnya tertulis free toner ml ternyata tonernya tdk datang setelah chat seller katanya limited stock klo memang limited stock ko knp tdk ditulis atau dijelaskan masa sekelas official store seperti ini klo memang sdh habis yah gambarnya knp gk diganti aja ternyata banyak yg mengeluhkan hal yg sama ttg free gift yg tdk dikirim harusnya pihak store bisa memperbaiki hal tsb sisa umur simpan produk jg masa kurang dr thn hanya bln exp nov
60, purchased the first date of the campaign free mirror but the package didn  include the mirror as the campaign said their product packaging also so poor looks cheap customer admin doesn  know their campaign as well totally bad experience
61,ternyata yang dikirim ada bintik putihnya bukan sabun kea biasa kualitas barangnya tolong diperhatikan
62,mumpung bulan puasa jd sebelum order pikir dlu jangan termakan iklan review dr youtube rekomendasi dr youtube sblm order sudah baca deskripsi sudah memutuskan untuk membeli taunya produknya very not recomended kulit semakin kusam pkoknya kulit muka kayak terik gtu tp muka kusam mngkn krna jd kering gtu komedo yg awalnya ga keliatan jd keliatan mngkn krna kering pdhl saya menggunakan serum merk sebelah aman aman saja sudah chat penjual tp tidak memberikan solusi sm skali dan slalu mencari alasan untuk pembenaran contohnya wajib ini itu sblm pakai ini pdhl sudah jelas dideskripsi produk tidak ada penjelasannya rugi didunia ga masalah ngamburin uang beli produk ini drpd rugi akhirat menjual produk haruslah lengkap harus jelas jgn setelah order bru dikasi tw harus pakai ini dulu itu dulu alhamdulillah dalam islam saya diajarkan slalu memberikan penjelasan atas apa yg saya jual
63,terimakasih avoskin aku dapet serum yang ada banyak gumpalan didalamnya terimakasih juga buat responnya yang lama terimakasih avoskin untuk tidak tanggung jawab atas produk yang dijualnya makin seneng kalau beli barang barang cacat di toko officalnya langsung semoga aku cocok yah sama serum yang gak tau aman apa nggak ini terimakasih penerima barang cacat
64,gak videoin unboxing tapi salah kirim pesan divine ampoule yang datang malah yang ampoule sheetmask bingung mau komplain bagaimana bisa dicheck stok kalian tidak kalau memang salah kirim
65,isinya tumpah semua
66,barang seharusnya isi yg ampoule tidak ada udh isi komplain dan berbagai form komplin yg disediakan pihak avo deal katanya akan dikirim manual kekurangannya saja mohon utk dibatalkan komplainnya  tiba minta dikirim balik akan dipickup barang yg ada di saya udh di repacking dan udh di pickup oleh pihak avoskin sampe skrg status pengiriman balik dari avoskin gak jelas diminta no resi di cek not found dichat lg  dikirim resi yg berbeda aneh bukan slowrespon banget
67,beli bulan juni untuk stok karena emang langganan sama avoskin dan emang bagus tapi beli yang ke exp nya cuma sampai bulan jadi ga kepakai sama sekali tolong pihak toko perhatian lagi barang yang dijual sudah banyak complain mengenai exp barang
68,harga mahal padahal toko official tp menjual barang exp date dan sebelum dikirim sudah minta exp date yang masih panjang tapi ternyata tidak dipenuhi
69,nyelotipnya langsung ke produk jadi lengket coklat kena produknya
70,packing pake kardus cuma nyebelinnya pake diselotip kertas dan langsung nempel ke sheetmask nya ngerusak estetika produknya lain kali plis lah masukin kardus aja gausah diselotip gak guna juga selotipnya malah yg ada bikin jelek produk dan lengket
71,isinya sedikit banget malah kayak yg sudah kering isinya
72,packingnya super aman dan bahkan ketika sampai di tangan saya termasuk masih mulus bubble wrap juga tebal bahkan kotak skincarenya termasuk baik baik saja walaupun terlihat seperti produk lama yang tidak laku bahkan masa kadaluarsanya sangat singkat namun bukan masalah insyaallah bisa habis sebelum masa kadaluarsanya yang menjadi masalahnya sekarang adalah tutup skincarenya yang damage parah yang jelas bukan kesalahan kurir tapi memang dari pihak avoskin nya kalau menurut sop seharusnya ini jadi barang reject dan jika mau tetap dipasarkan saya tidak perlu membayar seharga yang mahal seharga botol mulus kecewa banget sih repurchase masih belum tau kedepannya takut dapat barang dengan masalah yang sama dan lebih takut lagi kalau sampai dapat botol yang pecah tolong pihak avoskin lebih amanah ke pembeli
