,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
107,toner yang ditunggu tapi pas nyampe kemasan tumpah dan tonernya abis ya allah pen nangis,toner yang ditunggu tapi pas sampai kemasan tumpah dan tonernya habis ya allah pengin menangis,"['toner', 'yang', 'ditunggu', 'tapi', 'pas', 'sampai', 'kemasan', 'tumpah', 'dan', 'tonernya', 'habis', 'ya', 'allah', 'pengin', 'menangis']","['toner', 'ditunggu', 'pas', 'kemasan', 'tumpah', 'tonernya', 'habis', 'ya', 'allah', 'pengin', 'menangis']","['toner', 'tunggu', 'pas', 'kemas', 'tumpah', 'tonernya', 'habis', 'ya', 'allah', 'pengin', 'menang']"
108,abis pake minggu malah breakout mau klam asuransi alergi nya malah  bisa,habis pakai minggu malah breakout mau klam asuransi alergi nya malah  bisa,"['habis', 'pakai', 'minggu', 'malah', 'breakout', 'mau', 'klam', 'asuransi', 'alergi', 'nya', 'malah', 'bisa']","['habis', 'pakai', 'minggu', 'breakout', 'klam', 'asuransi', 'alergi', 'nya']","['habis', 'pakai', 'minggu', 'breakout', 'klam', 'asuransi', 'alergi', 'nya']"
109,yang dikirimkan bukan toner ml tp yg ml baru sempat unboxing,yang dikirimkan bukan toner ml tapi yang ml baru sempat unboxing,"['yang', 'dikirimkan', 'bukan', 'toner', 'ml', 'tapi', 'yang', 'ml', 'baru', 'sempat', 'unboxing']","['dikirimkan', 'toner', 'ml', 'ml', 'unboxing']","['kirim', 'toner', 'ml', 'ml', 'unboxing']"
110,inv mpl kurang untuk gct tranexamic nya mohon dicek kembali jumlah produk tersebut yang tersisa di gudang penjual ada kelebihan satu kan nah itu punya saya semoga bisa dilakukan pengiriman kembali ya,inv mpl kurang untuk gct tranexamic nya mohon dicek kembali jumlah produk tersebut yang tersisa di gudang penjual ada kelebihan satu kan nah itu punya saya semoga bisa dilakukan pengiriman kembali ya,"['inv', 'mpl', 'kurang', 'untuk', 'gct', 'tranexamic', 'nya', 'mohon', 'dicek', 'kembali', 'jumlah', 'produk', 'tersebut', 'yang', 'tersisa', 'di', 'gudang', 'penjual', 'ada', 'kelebihan', 'satu', 'kan', 'nah', 'itu', 'punya', 'saya', 'semoga', 'bisa', 'dilakukan', 'pengiriman', 'kembali', 'ya']","['inv', 'mpl', 'gct', 'tranexamic', 'nya', 'mohon', 'dicek', 'produk', 'tersisa', 'gudang', 'penjual', 'kelebihan', 'semoga', 'pengiriman', 'ya']","['inv', 'mpl', 'gct', 'tranexamic', 'nya', 'mohon', 'cek', 'produk', 'sisa', 'gudang', 'jual', 'lebih', 'moga', 'kirim', 'ya']"
111,ga cocok,enggak cocok,"['enggak', 'cocok']",['cocok'],['cocok']
112,astaga ini expired date nya udah deket banget baru ini kecewa banget sama avo,astaga ini expired date nya sudah dekat banget baru ini kecewa banget sama avo,"['astaga', 'ini', 'expired', 'date', 'nya', 'sudah', 'dekat', 'banget', 'baru', 'ini', 'kecewa', 'banget', 'sama', 'avo']","['astaga', 'expired', 'date', 'nya', 'banget', 'kecewa', 'banget', 'avo']","['astaga', 'expired', 'date', 'nya', 'banget', 'kecewa', 'banget', 'avo']"
113,sudah meminta pembatalan pesanan karena mau ganti produk dan tinggal menunggu persutujuan penjual tetapi tetap di proses seperti sengaja dan memaksa,sudah meminta pembatalan pesanan karena mau ganti produk dan tinggal menunggu persutujuan penjual tetapi tetap di proses seperti sengaja dan memaksa,"['sudah', 'meminta', 'pembatalan', 'pesanan', 'karena', 'mau', 'ganti', 'produk', 'dan', 'tinggal', 'menunggu', 'persutujuan', 'penjual', 'tetapi', 'tetap', 'di', 'proses', 'seperti', 'sengaja', 'dan', 'memaksa']","['pembatalan', 'pesanan', 'ganti', 'produk', 'tinggal', 'menunggu', 'persutujuan', 'penjual', 'proses', 'sengaja', 'memaksa']","['batal', 'pesan', 'ganti', 'produk', 'tinggal', 'tunggu', 'persutujuan', 'jual', 'proses', 'sengaja', 'paksa']"
114,dus produk rusak seperti sudah di buka,dus produk rusak seperti sudah di buka,"['dus', 'produk', 'rusak', 'seperti', 'sudah', 'di', 'buka']","['dus', 'produk', 'rusak', 'buka']","['dus', 'produk', 'rusak', 'buka']"
115,maaf ya saya kasih bintang soalnya essence nya susah bgt keluar meskipun ini udah diretur proses retur juga lama bgt total minggu saya baru terima barang barunya udah gt msh juga susah keluar essence nya gatau ya mungkin yg size gede ga susah ky gini not reccomend kecewa sih soalnya beli harga normal ud gt keracun org yg katanya bagus bgt tp aku sendiri susah buat coba produknya pdhl series avoskin lain yg aku punya ga ky gini,maaf ya saya kasih bintang soalnya essence nya susah banget keluar meskipun ini sudah diretur proses retur juga lama banget total minggu saya baru terima barang barunya sudah begitu masih juga susah keluar essence nya enggak tau ya mungkin yang size gede enggak susah kaya begini not reccomend kecewa sih soalnya beli harga normal sudah begitu keracun orang yang katanya bagus banget tapi aku sendiri susah buat coba produknya padahal series avoskin lain yang aku punya enggak kaya begini,"['maaf', 'ya', 'saya', 'kasih', 'bintang', 'soalnya', 'essence', 'nya', 'susah', 'banget', 'keluar', 'meskipun', 'ini', 'sudah', 'diretur', 'proses', 'retur', 'juga', 'lama', 'banget', 'total', 'minggu', 'saya', 'baru', 'terima', 'barang', 'barunya', 'sudah', 'begitu', 'masih', 'juga', 'susah', 'keluar', 'essence', 'nya', 'enggak', 'tau', 'ya', 'mungkin', 'yang', 'size', 'gede', 'enggak', 'susah', 'kaya', 'begini', 'not', 'reccomend', 'kecewa', 'sih', 'soalnya', 'beli', 'harga', 'normal', 'sudah', 'begitu', 'keracun', 'orang', 'yang', 'katanya', 'bagus', 'banget', 'tapi', 'aku', 'sendiri', 'susah', 'buat', 'coba', 'produknya', 'padahal', 'series', 'avoskin', 'lain', 'yang', 'aku', 'punya', 'enggak', 'kaya', 'begini']","['maaf', 'ya', 'kasih', 'bintang', 'essence', 'nya', 'susah', 'banget', 'diretur', 'proses', 'retur', 'banget', 'total', 'minggu', 'terima', 'barang', 'barunya', 'susah', 'essence', 'nya', 'tau', 'ya', 'size', 'gede', 'susah', 'kaya', 'not', 'reccomend', 'kecewa', 'sih', 'beli', 'harga', 'normal', 'keracun', 'orang', 'bagus', 'banget', 'susah', 'coba', 'produknya', 'series', 'avoskin', 'kaya']","['maaf', 'ya', 'kasih', 'bintang', 'essence', 'nya', 'susah', 'banget', 'retur', 'proses', 'retur', 'banget', 'total', 'minggu', 'terima', 'barang', 'baru', 'susah', 'essence', 'nya', 'tau', 'ya', 'size', 'gede', 'susah', 'kaya', 'not', 'reccomend', 'kecewa', 'sih', 'beli', 'harga', 'normal', 'racun', 'orang', 'bagus', 'banget', 'susah', 'coba', 'produk', 'series', 'avoskin', 'kaya']"
116,beli yg kombucha datangnya yg niacimide kuning bening kecewa minta pertanggungjwban tp solusinya ditukar dan hrs kirim balik barangnya trs waktuku yg terbuang gag diganti rada males trs yaudahlah dipake aja drpd nunggu lagi,beli yang kombucha datangnya yang niacimide kuning bening kecewa meminta pertanggungjwban tapi solusinya ditukar dan harus kirim balik barangnya terus waktuku yang terbuang enggak diganti rada malas terus yaudahlah dipakai saja daripada menunggu lagi,"['beli', 'yang', 'kombucha', 'datangnya', 'yang', 'niacimide', 'kuning', 'bening', 'kecewa', 'meminta', 'pertanggungjwban', 'tapi', 'solusinya', 'ditukar', 'dan', 'harus', 'kirim', 'balik', 'barangnya', 'terus', 'waktuku', 'yang', 'terbuang', 'enggak', 'diganti', 'rada', 'malas', 'terus', 'yaudahlah', 'dipakai', 'saja', 'daripada', 'menunggu', 'lagi']","['beli', 'kombucha', 'datangnya', 'niacimide', 'kuning', 'bening', 'kecewa', 'pertanggungjwban', 'solusinya', 'ditukar', 'kirim', 'barangnya', 'waktuku', 'terbuang', 'diganti', 'rada', 'malas', 'yaudahlah', 'dipakai', 'menunggu']","['beli', 'kombucha', 'datang', 'niacimide', 'kuning', 'bening', 'kecewa', 'pertanggungjwban', 'solusi', 'tukar', 'kirim', 'barang', 'waktu', 'buang', 'ganti', 'rada', 'malas', 'yaudahlah', 'pakai', 'tunggu']"
