,Review
85,terima kasih barang sampe dengan selamat dan tepat waktu bgt sering sering diskonannya karena aku cocok bgt pake ini jadi bakalan beli terus
86,mantabbb
87,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta
88,pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama
89,paket diterima dengan keadaan baik
90,baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi
91,fast respon
92,okeeeeeeeee
93,niceeeee
94,worth the price pcs dapat harga  cashback 
95,thx ya
96,tipe kulitku berminyak masalah kulitku pori besar
97,packing aman banget semoga cocok
98,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine
99,repurchased nda bikin kusam affordable
100,susah di blend jadi alisnya numpuk ngeblock huhu
101,wanginya lumayan nyaman
102,suka wanginya
103,cocok di aku
104,tipe kulitku berminyak masalah kulitku jerawat
105,tipe kulitku berminyak masalah kulitku jerawat ini sunscreen ter thebest untuk kulit oily acne prone bagus banget luvv
106,tidak bisa berkata lagi dehh buat moisturizer yang satu ini mantep pollll menenangkan banget disaat jerawat sedang meradang aku sudah makai sampai pembelian kedua
107,tekstur lembut seperti gel cepat menyerap dikulit dan tidak terasa lengket cocok untuk yang gampang kering karena melembapkan pengiriman cepat packing oke good job seller good luck
108,tipe kulitku kombinasi masalah kulitku pori besar
109,kedua kalinya pakai produk ini cocok banget di kulitku yang sepertinya kombinasi dan acne prone 
110,pesan yang serum vitamin  malah dikirim retinol jadi sedikit kecewa
111,sukaa baru sekali pake sihh blum bgitu kliatan hasilnya tpi semoga cocok
112,barang tidak sesuai gabisa klaim garansi karna memang ga menyiapkan video unboxing baru ini pesanan saya salah dan baru kali ini ngasih bintang karna kecewa tolong lain kali lebih teliti
113,mantap barangnya bagus selalu pakai moisturizer ini murah sering dpt diskon packing aman pengiriman cepat thankyouu seller
114,tipe kulitku berminyak tipe kulitku kering masalah kulitku jerawat
115,bagus bangeeettt warnanya oke stainnya mantul gak bikin bibir kering recommend pokonya luuuvv
116,favorit sunscreen
117,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal masalah kulitku jerawat
118,tipe kulitku kering tipe kulitku berminyak tipe kulitku normal masalah kulitku kerutan masalah kulitku jerawat
119,oil waternya nyaman dipakai bs menghapus waterproof make up tanpa oily bgt micellar waternya nyaman ga bikin kering
120,terima kasih harga murah barang sampai dengan selamat bubble wrap tebel dan pengiriman cepat
121,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku kering
122,tipe kulitku kombinasi cocok banget pake sunscreennya azarine teksturnya ringan ga bikin kulit kusam no whitecast gampang diblend udah repurchase yg ke kali alhamdulillah pembelian kmrn dapet diskom cashback pengiriman cepat respon seller baik saat diterima barang dalam kondisi baik terima kasih
123,belum coba semoga cocok
124,packaging pas ngirim barangnya oke yang serumnya juga dipakein bubble wrap jadi ga perlu khawatir si botol serumnya pecah oh iya berhubung udah beberapa minggu pake si serumnya udah mulai sedikit ada hasil saya ada masalah hyperpigmentation di area bibir udah mulai memudar cuman mungkin kudu rutin sama kayanya butuh beberapa bulan untuk betul betul get rid of hyperpigmentationnya mungkin musti follow salah satu sosmednya azarine syukur syukur di website azarinenya kaya ada menu news kaya bahas apa yang lagi dikerjain sama tim rndnya azarine ini mungkinn bakal lebih menarik perhatian calon customer ataupun loyal customernya azarine produk ini ga da masalah juga di kulit saya selama pemakaian serum sama si sunscreennya ya working well jadi ya untuk beberapa waktu ke depan mungkin bakal pake produk dari azarine ini buat calon customer yang lain best for research before what your type skin and problem with your skin makasih azarine
125,tipe kulitku kering jadi lembab pakai ini
126,mantep banget jerawat aku langsung pada kering
127,sudah sampai dengan selamat terima kasih bajyak
128,tipe kulitku normal tipe kulitku kering tipe kulitku berminyak
129,as usual bagus bgt udh repurchase kesekian kali memplump kan bibir melembabkan dan bikin warna jd cerah kalo dicombine sama pure paw paw
130,bagus memuaskan
131,masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku sensitif
132,mantul
133,pesanan sesuai
134,no review found
135,mkasih pesanan sudah sesuai pesanan saya pengiriman cepat matappppp
136,masalah kulitku jerawat masalah kulitku pori besar
137,sesuai pesanan pengiriman cepat dan pengemasan bagus sekalii mantappp
138,tefima kasih pesenanya uxah sampai sudah cocok pakai skincare dari merk azarine kualitas baguss harga juga terjangkou
139,terima kasih pesenan nya udah sampai udah cocok pakai skincare dari merk azarine ringan  pakai nya bikin kulit tambah cerah dan lembut
140,exp masih lama
141,ini serum yang sangat saya suka dari azarine teksturnya cair namun agak kental sedikit dan sangat mudah diaplikasikan ke wajah dan salah satu serum yang bagus digunakan jika lagi bruntusan atau menggunakan make up tebal sekalipun karena tetap melembabkan kulit saya
142,ini bener bener produk azarine yg luar biasa dan tidak pernah membuat saya kecewa teksturnya seperti jel namun jika kita aplikasikan ke wajah berubah menjadi bisa dan setelah dibilas dengan air wajah saya yg sama sekali tidak dibersihkan dengan micelar water terasa bersih
143,teksturnya seperti jel namun tidak lengket dan lumayan cepat meresap di tipe kulitku kombinasi
144,ketiganya luar biasa menghidrasi kulit jika digabungkan dan tidak membuat wajah saya gatal
145,sukaa sama sunscreen ini krna dikasi tau temen udh pembelian kedua sih inii
146,bau nya enakk gak nyengat bgt make nya kulit harus bner bner kering jkalo kena air jadinya agak licin trus lengket tpi gkpapa sih gk bgitu kerasa overall sukaa dan semoga cocok
147,done
148,bagus bgt cocok dikulit laki suka bgt lovependkdksnz
149,baikkk
150,packaging aman bubble wrap tebel dan dikardusin juga pengiriman cepat
151,barang sesuai pesanan expired aman
152,ok sih tapi kenapa yg satu ga ada segel nya ya
153,bahannya ringan mantul
154,tekstur lembut nyaman dikulit cocok banget daahhh
155,warnanya agak beda sama di etalase jadinya cream agak pink tapi saya suka sj buat nambah koleksi warna lain
156,beli twin yg dikirim cuma difollow up admin katanya mau dikirim diluar toped kekuranganya maximal hari kerja ini sudah lebih dari hari kerja kemudia saya tanya cuma dijawab pasti dikirim kok kak really bad attitude review saya edit kekurangan telah dikirim seller terimakasih azarine masih amanah next qc nya diperketat shingga saya konsumen ga perlu repot lagi video unboxing krn sudah percaya pada azarine
157,parah bangetttt harganyaa eeeh besoknya malah turun lg pan gemesss tp lanjut beli lg sayaaang klo dilewatin
158,parah banget flash sale nyaa cucok lah ama azarine
159,penjual amanah barang kurang dikirim ulang mksh ya moga berkah dagangannya laku
160,paketnya sudah sampai dengan aman baru pertama kali pakai nih smg cocok sama kulit wajahku
161,harga lebih murah ditokped ketimbang di keranjang oranye sejauh ini si belum bikin putih putih banget tp entah kenapa masih cinta produk azarine smg pemakaian rutin bikin benar wajah putih dan glowing kaya klaimnya
162,sebenarnya  terlalu suka produk eyebrownya karena isi sedikit bgt dan gampang patah tapi hasilnya bagus tolong diperbaiki kekurangan itu azarine kl produk yg lain bagus dan suka
163,bagus dan suka lebih murah ditoko ini ketimbang di keranjang oranye
164,sesuai pesanan pengemasan dan pengiriman oke makasih
165,baru nyoba semoga cocok
166,bagus sekali sesuai pesanan sudah order yang keberapa kali karna sebagus itu dan cocok untuk oily skin
167, mleyot
168,so far ini produk paling nyaman buat kulit wajah pasti beli lagii
169,pengiriman capet warnanya cakep rada wangi
170,pengemasannya terlalu lama gak gercep
171,tipe kulitku kombinasi best combination sama moisturizer yg ijo
172,baru akan coba moga cocok
173,baru akan dicoba moga sesuai deskripsi
174,pengemasan cepat dan aman
175,nympe nya cepett ringan banget di kulit
176,warna lip tint nya saya suka terimakasih banyak
177,good
178,tipe kulitku combi to oily serumnya cocok gampang nyerap dan lumayan ngaruh
179,udah jadi sunscreen andalan cocok buat kulit mukaku yg kering barang sampai dg aman
180,worth to buy items dpt di harga  packingnya niat dan aman bgt thank  somuch azarine tokped tapi plis non aktifin ekspedisi sicepat bukannya cepet malah lambat nyampenya masa sda sub sampe hari azarine ngirim pake sapx aja sehari sampe loh itu mah bukan ekspedisi sicepat tapi silambat
181,barang sampai dengan baik sedikit masalah dalam pengiriman
182,bagus dan original pengiriman nya juga cepet banget
183,ok banget
184,barang sesuai deskripsi kemasan dan packing aman dan rapi semoga khasiatnya cocok recommended
185,barang sesuai deskripsi kemasan dan packing aman dan rapi tentang khasiat semoga cocok recommended
186,belum dicoba semoga cocok
187,pengiriman cepat barang sesuai
188,belum coba yg varian ini mudahan cocok
189,selalu cocok di wajah
190,wanginyaa sukak padahal blind buy semoga cocokk
191,tipe kulitku kering pakai sunscreen ini lebih lembab bagus produknya terimakasih semoga bermanfaat ya
192,kalau urusan sunscreen produk ini adalah favorit
193,thank  min ss tiba dengan aman
194,ternyata wanginya ga seperti yg diharapkan tp efeknya di kulit tetep bagus
195,lumayan dapet diskon tapi pengirimannya lama belum bisa review baru pembelian pertama
196,belum coba beli karena disaranin semoga cocok packingnya juga aman pengirimannya lumayaan tipe kulitku kombinasi
197,abguusss
198,sunscreen enak mudah menyerap krn texture gel cuman disayangkan krn lubang tubenya gede jadi kalo pakai dosis jari gendut tuh radak susah mungkin bisa diperbaiki dari segi packaging tipe kulitku kombinasi
199,tipe kulitku normal tipe kulitku berminyak masalah kulitku jerawat tipe kulitku kombinasi
200,sudah sering beli dan belum ada yg tidak sesuai dengan produknya
201,tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar bagus banget muka ku jadi lebih haluss
202,barang sudah sampai dengan selamat tks
203,cocok untuk kulit kering
204,tipe kulitku kering mayan bantu sii btw tutupnya yg dalem susah banget di buka
205,setelah menggunakan produk ini selama beberapa hari kulit wajah yang tadinya kering sekarang terasa lembab love it
206,minggu baru sampe
207,cocok di kulit yg sensitif teksturnya ga lengket
208,pengiriman lama dari sebelum tahun baru dan paket tidak saya terima ekspedisi nyasar kirim paket nya
209,cantik warnanya dan ternyata pigmented bgt ya
210,cocok udah sering pake ok
211,udah sering repeat order ok
212,aku masih belum pernah coba tapi semoga nanti sesuai expetasii barangnya sampe dengan aman plus bubble wrapnya tebel bangettttt
213,packingnya niat bgt padahal cuma beli lip cream so aman bgt nyampe ke cust warnanya cantik buat ombre thx  tokped azarine
214,barang dikirim cuma padahal beli twin  halo azarine kalo mau aku ubah ratingnya tolong kirim barang kurangnya yg harusnya jadi hak saya ya
215,lucuuu bgt warnanya  liat punya temen bagus jadi aku ikut beli _
216,sudah tube ke bagus bgt cocok buatku
217,mantap sesuk order neh
218,warnanya cantikkk suka
219,buat akuu ini enak banget ss nya nggak lengket finish nya enak banget di kulitku yg oilyy sukaaa
220,ini cocok buat kulit sensitif oily acne prone kaya akuuuu nggak perih dan nggak bikin keringgg sukakk
221,warnanya nude bangettt beda sama di foto
222,exp lama packsging rapi cpet bgt sampe sukses trus ajarin
223,tipe kulitku berminyak tipe kulitku kering
224,lotion nya bagus banget teksturnya light watery gitu terus easy di apply ke kulit nyerap nya cepet dan melembapkan banget gitu oya ini juga spf juga lagi beneran bakal repurchase sih kalo abis 
225,barang sesuai pesanan barang bagus
226,barangnya sesuai pesanan
227,nice
228,baru mau coba pertama kali semoga cocok next order lagi
229,tipe kulitku kering cocok ringan dipakai no white cast cepat meresap tidak bikin muka kilang minyak
