,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
13,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']","['tipe', 'kulit', 'normal']"
14,cepet banget nyerapnya cocok buat kulit berminyak jerawatan ga bikin lengket suncreen terfavorit,cepat banget nyerapnya cocok buat kulit berminyak jerawatan enggak bikin lengket suncreen terfavorit,"['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'berminyak', 'jerawatan', 'enggak', 'bikin', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'berminyak', 'jerawatan', 'enggak', 'bikin', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'minyak', 'jerawat', 'enggak', 'bikin', 'lengket', 'suncreen', 'favorit']"
15,ringan,ringan,['ringan'],['ringan'],['ringan']
16,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi,"['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'terasa', 'ringan', 'dan', 'wanginya', 'enak', 'bagus', 'untuk', 'menghadap', 'uv', 'dan', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'terasa', 'ringan', 'wanginya', 'enak', 'bagus', 'menghadap', 'uv', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahan', 'ringan', 'mufah', 'dserap', 'kulit', 'asa', 'ringan', 'wangi', 'enak', 'bagus', 'hadap', 'uv', 'uv', 'tipe', 'kulit', 'kombinasi']"
17,barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']"
18,pengiriman cepat penjual ramah produk ori,pengiriman cepat penjual ramah produk orisinal,"['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['kirim', 'cepat', 'jual', 'ramah', 'produk', 'orisinal']"
19,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
20,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone,"['teksturnya', 'ringan', 'dan', 'gampang', 'menyerap', 'tapi', 'lama', 'kelamaan', 'kulit', 'jadi', 'rada', 'berminyak', 'di', 'area', 'zone']","['teksturnya', 'ringan', 'gampang', 'menyerap', 'lama', 'kelamaan', 'kulit', 'jadi', 'rada', 'berminyak', 'area', 'zone']","['tekstur', 'ringan', 'gampang', 'serap', 'lama', 'lama', 'kulit', 'jadi', 'rada', 'minyak', 'area', 'zone']"
21,packet aman packing rapih cuma kurir expedisinya aja blegug ditungguin dr siang ga nyampe  sore kita ada urusan dadakan dia nyampe kaga ngabarin pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org entah ditaro mana sm kurirnya saya buru plg termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dl gt maen diselip aja gmn coba klo ada pemulung kira itu kotak kardus sampah bisa ilang paket saya,packet aman packing rapi cuma kurir expedisinya saja blegug ditungguin dari siang enggak sampai  sore kita ada urusan dadakan dia sampai kagak ngabarin pas saya cek dari tokped termyata packet tiba di tujuan padahal di rumah enggak ada orang entah ditaro mana sama kurirnya saya buru pulang termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dulu begitu main diselip saja bagaimana coba kalo ada pemulung kira itu kotak kardus sampah bisa hilang paket saya,"['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'saja', 'blegug', 'ditungguin', 'dari', 'siang', 'enggak', 'sampai', 'sore', 'kita', 'ada', 'urusan', 'dadakan', 'dia', 'sampai', 'kagak', 'ngabarin', 'pas', 'saya', 'cek', 'dari', 'tokped', 'termyata', 'packet', 'tiba', 'di', 'tujuan', 'padahal', 'di', 'rumah', 'enggak', 'ada', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurirnya', 'saya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'di', 'kusen', 'pintu', 'kacau', 'sih', 'bukannya', 'kontak', 'saya', 'dulu', 'begitu', 'main', 'diselip', 'saja', 'bagaimana', 'coba', 'kalo', 'ada', 'pemulung', 'kira', 'itu', 'kotak', 'kardus', 'sampah', 'bisa', 'hilang', 'paket', 'saya']","['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'enggak', 'sore', 'urusan', 'dadakan', 'kagak', 'ngabarin', 'pas', 'cek', 'tokped', 'termyata', 'packet', 'tiba', 'tujuan', 'padahal', 'rumah', 'enggak', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurirnya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'kusen', 'pintu', 'kacau', 'sih', 'bukannya', 'kontak', 'dulu', 'main', 'diselip', 'bagaimana', 'coba', 'kalo', 'pemulung', 'kira', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']","['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'enggak', 'sore', 'urus', 'dada', 'kagak', 'ngabarin', 'pas', 'cek', 'tokped', 'termyata', 'packet', 'tiba', 'tuju', 'padahal', 'rumah', 'enggak', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurir', 'buru', 'pulang', 'termyata', 'paket', 'diselipin', 'kusen', 'pintu', 'kacau', 'sih', 'bukan', 'kontak', 'dulu', 'main', 'selip', 'bagaimana', 'coba', 'kalo', 'pulung', 'kira', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']"
22,alhamdulillah cocok pembelian kedua thx ,alhamdulillah cocok pembelian kedua thanks ,"['alhamdulillah', 'cocok', 'pembelian', 'kedua', 'thanks']","['alhamdulillah', 'cocok', 'pembelian', 'kedua', 'thanks']","['alhamdulillah', 'cocok', 'beli', 'dua', 'thanks']"
23,semua productnya kusuka kalo beli satuan total item rb ku cuma beli rb dapet cashback rb syenangnya masih dapet free gift pouch kaca  card,semua productnya kusuka kalo beli satuan total item ribu ku cuma beli ribu dapat cashback ribu syenangnya masih dapat free gift pouch kaca  card,"['semua', 'productnya', 'kusuka', 'kalo', 'beli', 'satuan', 'total', 'item', 'ribu', 'ku', 'cuma', 'beli', 'ribu', 'dapat', 'cashback', 'ribu', 'syenangnya', 'masih', 'dapat', 'free', 'gift', 'pouch', 'kaca', 'card']","['semua', 'productnya', 'kusuka', 'kalo', 'beli', 'satuan', 'total', 'item', 'ribu', 'ku', 'cuma', 'beli', 'ribu', 'cashback', 'ribu', 'syenangnya', 'free', 'gift', 'pouch', 'kaca', 'card']","['semua', 'productnya', 'suka', 'kalo', 'beli', 'satu', 'total', 'item', 'ribu', 'ku', 'cuma', 'beli', 'ribu', 'cashback', 'ribu', 'syenangnya', 'free', 'gift', 'pouch', 'kaca', 'card']"
24,gemass warnanya cantikk,gemas warnanya cantik,"['gemas', 'warnanya', 'cantik']","['gemas', 'warnanya', 'cantik']","['gemas', 'warna', 'cantik']"
25,repeat order,repeat order,"['repeat', 'order']","['repeat', 'order']","['repeat', 'order']"
26,masalah kulitku pori besar,masalah kulitku pori besar,"['masalah', 'kulitku', 'pori', 'besar']","['masalah', 'kulitku', 'pori', 'besar']","['masalah', 'kulit', 'pori', 'besar']"
27,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,ini beda nih dari pertama beli  first time mencoba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting  masa iya habis minum air hilang lah coba itu rugi dong sudahlah aku pindah haluan saja byeee,"['ini', 'beda', 'nih', 'dari', 'pertama', 'beli', 'first', 'time', 'mencoba', 'jatuh', 'cinta', 'banget', 'waktu', 'itu', 'pilih', 'shade', 'strawberrypine', 'sama', 'raspberry', 'muffin', 'terus', 'ini', 'pembelian', 'kedua', 'merasa', 'ini', 'formulanya', 'beda', 'banget', 'ini', 'lebih', 'berminyak', 'tapi', 'short', 'lasting', 'masa', 'iya', 'habis', 'minum', 'air', 'hilang', 'lah', 'coba', 'itu', 'rugi', 'dong', 'sudahlah', 'aku', 'pindah', 'haluan', 'saja', 'byeee']","['beda', 'nih', 'pertama', 'beli', 'first', 'time', 'mencoba', 'jatuh', 'cinta', 'banget', 'waktu', 'pilih', 'shade', 'strawberrypine', 'sama', 'raspberry', 'muffin', 'terus', 'pembelian', 'kedua', 'merasa', 'formulanya', 'beda', 'banget', 'lebih', 'berminyak', 'short', 'lasting', 'masa', 'iya', 'habis', 'minum', 'air', 'hilang', 'lah', 'coba', 'rugi', 'dong', 'sudahlah', 'aku', 'pindah', 'haluan', 'byeee']","['beda', 'nih', 'pertama', 'beli', 'first', 'time', 'coba', 'jatuh', 'cinta', 'banget', 'waktu', 'pilih', 'shade', 'strawberrypine', 'sama', 'raspberry', 'muffin', 'terus', 'beli', 'dua', 'rasa', 'formula', 'beda', 'banget', 'lebih', 'minyak', 'short', 'lasting', 'masa', 'iya', 'habis', 'minum', 'air', 'hilang', 'lah', 'coba', 'rugi', 'dong', 'sudah', 'aku', 'pindah', 'haluan', 'byeee']"
28,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth itu,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'overall', 'worth', 'itu']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'overall', 'worth']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'sensitif', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar', 'overall', 'worth']"
29,kecepatan pengiriman baik ada bubble warp,kecepatan pengiriman baik ada bubble warp,"['kecepatan', 'pengiriman', 'baik', 'ada', 'bubble', 'warp']","['kecepatan', 'pengiriman', 'baik', 'bubble', 'warp']","['cepat', 'kirim', 'baik', 'bubble', 'warp']"
30,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'sensitif', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
31,dpt harga ceban yay blm dicoba,dapat harga ceban yay belum dicoba,"['dapat', 'harga', 'ceban', 'yay', 'belum', 'dicoba']","['harga', 'ceban', 'yay', 'dicoba']","['harga', 'ceban', 'yay', 'coba']"
32,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bnafas,"['pembelian', 'kesekian', 'kalinya', 'cocok', 'di', 'muka', 'apalagi', 'kalo', 'pas', 'jerawatan', 'kulitnya', 'tetap', 'bisa', 'bnafas']","['pembelian', 'kesekian', 'kalinya', 'cocok', 'muka', 'kalo', 'pas', 'jerawatan', 'kulitnya', 'tetap', 'bnafas']","['beli', 'sekian', 'kali', 'cocok', 'muka', 'kalo', 'pas', 'jerawat', 'kulit', 'tetap', 'bnafas']"
33,ternyata dapet ya baru pertama kali semoga cocok,ternyata dapat ya baru pertama kali semoga cocok,"['ternyata', 'dapat', 'ya', 'baru', 'pertama', 'kali', 'semoga', 'cocok']","['ternyata', 'baru', 'pertama', 'kali', 'semoga', 'cocok']","['nyata', 'baru', 'pertama', 'kali', 'moga', 'cocok']"
34,mudahan cocok terima kasih,mudahan cocok terima kasih,"['mudahan', 'cocok', 'terima', 'kasih']","['mudahan', 'cocok', 'terima', 'kasih']","['mudah', 'cocok', 'terima', 'kasih']"
35,udh sering beli ini dan selalu cocok,sudah sering beli ini dan selalu cocok,"['sudah', 'sering', 'beli', 'ini', 'dan', 'selalu', 'cocok']","['sering', 'beli', 'selalu', 'cocok']","['sering', 'beli', 'selalu', 'cocok']"
36,barang datang dengan selamat walau agak lama datangnya,barang datang dengan selamat walau agak lama datangnya,"['barang', 'datang', 'dengan', 'selamat', 'walau', 'agak', 'lama', 'datangnya']","['barang', 'datang', 'selamat', 'lama', 'datangnya']","['barang', 'datang', 'selamat', 'lama', 'datang']"
