,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
154,setelah beberapa bulan lamanya pemakainan sempet skip pakai dan skip diriku menyimpulkan kurang cocok di mukaku yg combination to oily ketika mukaku lagi bo dan banyak jerawat batu ga mempan pake ini sedih jerawatnya ngga mengering malah tumbuh tempat lain,setelah beberapa bulan lamanya pemakainan sempat skip pakai dan skip diriku menyimpulkan kurang cocok di mukaku yang combination tapi oily ketika mukaku lagi bo dan banyak jerawat batu enggak mempan pakai ini sedih jerawatnya enggak mengering malah tumbuh tempat lain,"['setelah', 'beberapa', 'bulan', 'lamanya', 'pemakainan', 'sempat', 'skip', 'pakai', 'dan', 'skip', 'diriku', 'menyimpulkan', 'kurang', 'cocok', 'di', 'mukaku', 'yang', 'combination', 'tapi', 'oily', 'ketika', 'mukaku', 'lagi', 'bo', 'dan', 'banyak', 'jerawat', 'batu', 'enggak', 'mempan', 'pakai', 'ini', 'sedih', 'jerawatnya', 'enggak', 'mengering', 'malah', 'tumbuh', 'tempat', 'lain']","['pemakainan', 'skip', 'pakai', 'skip', 'diriku', 'menyimpulkan', 'cocok', 'mukaku', 'combination', 'oily', 'mukaku', 'bo', 'jerawat', 'batu', 'mempan', 'pakai', 'sedih', 'jerawatnya', 'mengering', 'tumbuh']","['pemakainan', 'skip', 'pakai', 'skip', 'diri', 'simpul', 'cocok', 'muka', 'combination', 'oily', 'muka', 'bo', 'jerawat', 'batu', 'mempan', 'pakai', 'sedih', 'jerawat', 'ering', 'tumbuh']"
155,botol kedua utk sebagai saviour saat jerawat jg nggak di saya sih sebagai perawatan wajah yg sensisitf gampang berjerawat aja gak bikin muka makin oily jg hanya saja kali ini si acne combat serum nya sdh keluar dr kotak nya entah kenapa,botol kedua untuk sebagai saviour saat jerawat juga enggak di saya sih sebagai perawatan wajah yang sensisitf gampang berjerawat saja enggak bikin muka makin oily juga hanya saja kali ini sih acne combat serum nya sudah keluar dari kotak nya entah kenapa,"['botol', 'kedua', 'untuk', 'sebagai', 'saviour', 'saat', 'jerawat', 'juga', 'enggak', 'di', 'saya', 'sih', 'sebagai', 'perawatan', 'wajah', 'yang', 'sensisitf', 'gampang', 'berjerawat', 'saja', 'enggak', 'bikin', 'muka', 'makin', 'oily', 'juga', 'hanya', 'saja', 'kali', 'ini', 'sih', 'acne', 'combat', 'serum', 'nya', 'sudah', 'keluar', 'dari', 'kotak', 'nya', 'entah', 'kenapa']","['botol', 'saviour', 'jerawat', 'sih', 'perawatan', 'wajah', 'sensisitf', 'gampang', 'berjerawat', 'bikin', 'muka', 'oily', 'kali', 'sih', 'acne', 'combat', 'serum', 'nya', 'kotak', 'nya']","['botol', 'saviour', 'jerawat', 'sih', 'awat', 'wajah', 'sensisitf', 'gampang', 'jerawat', 'bikin', 'muka', 'oily', 'kali', 'sih', 'acne', 'combat', 'serum', 'nya', 'kotak', 'nya']"
156,belum di coba semoga cocok,belum di coba semoga cocok,"['belum', 'di', 'coba', 'semoga', 'cocok']","['coba', 'semoga', 'cocok']","['coba', 'moga', 'cocok']"
157,proses pesanan cepat packaging aman,proses pesanan cepat packaging aman,"['proses', 'pesanan', 'cepat', 'packaging', 'aman']","['proses', 'pesanan', 'cepat', 'packaging', 'aman']","['proses', 'pesan', 'cepat', 'packaging', 'aman']"
158,baru coba spot guard dan teo nya semoga ampuh hempas noda bekas jerawat packaging aman sentosa trima kasij,baru coba spot guard dan teo nya semoga ampuh hempas noda bekas jerawat packaging aman sentosa terima kasij,"['baru', 'coba', 'spot', 'guard', 'dan', 'teo', 'nya', 'semoga', 'ampuh', 'hempas', 'noda', 'bekas', 'jerawat', 'packaging', 'aman', 'sentosa', 'terima', 'kasij']","['coba', 'spot', 'guard', 'teo', 'nya', 'semoga', 'ampuh', 'hempas', 'noda', 'bekas', 'jerawat', 'packaging', 'aman', 'sentosa', 'terima', 'kasij']","['coba', 'spot', 'guard', 'teo', 'nya', 'moga', 'ampuh', 'hempas', 'noda', 'bekas', 'jerawat', 'packaging', 'aman', 'sentosa', 'terima', 'kasij']"
159,packaging aman produknya lumayan cocok di aku,packaging aman produknya lumayan cocok di aku,"['packaging', 'aman', 'produknya', 'lumayan', 'cocok', 'di', 'aku']","['packaging', 'aman', 'produknya', 'lumayan', 'cocok']","['packaging', 'aman', 'produk', 'lumayan', 'cocok']"
160,setiap dibuka pasti selalu tumpah produknya,setiap dibuka pasti selalu tumpah produknya,"['setiap', 'dibuka', 'pasti', 'selalu', 'tumpah', 'produknya']","['dibuka', 'tumpah', 'produknya']","['buka', 'tumpah', 'produk']"
161,pelayanannya bagus banget tapi bintang buat dmrnya claimnya bagus dan ada efeknya tapi kurang nyaman dipakai karna aromanya kurang sedap aromanya aroma bahan kimia banget jadi waktu dipake agak kurang nyaman apalagi waktu makan jadi kyk makan bahan kimia padahal bagus banget tapi aromanya bikin ga nyaman,pelayanannya bagus banget tapi bintang buat dmrnya claimnya bagus dan ada efeknya tapi kurang nyaman dipakai karena aromanya kurang sedap aromanya aroma bahan kimia banget jadi waktu dipakai agak kurang nyaman apalagi waktu makan jadi kayak makan bahan kimia padahal bagus banget tapi aromanya bikin enggak nyaman,"['pelayanannya', 'bagus', 'banget', 'tapi', 'bintang', 'buat', 'dmrnya', 'claimnya', 'bagus', 'dan', 'ada', 'efeknya', 'tapi', 'kurang', 'nyaman', 'dipakai', 'karena', 'aromanya', 'kurang', 'sedap', 'aromanya', 'aroma', 'bahan', 'kimia', 'banget', 'jadi', 'waktu', 'dipakai', 'agak', 'kurang', 'nyaman', 'apalagi', 'waktu', 'makan', 'jadi', 'kayak', 'makan', 'bahan', 'kimia', 'padahal', 'bagus', 'banget', 'tapi', 'aromanya', 'bikin', 'enggak', 'nyaman']","['pelayanannya', 'bagus', 'banget', 'bintang', 'dmrnya', 'claimnya', 'bagus', 'efeknya', 'nyaman', 'dipakai', 'aromanya', 'sedap', 'aromanya', 'aroma', 'bahan', 'kimia', 'banget', 'dipakai', 'nyaman', 'makan', 'kayak', 'makan', 'bahan', 'kimia', 'bagus', 'banget', 'aromanya', 'bikin', 'nyaman']","['layan', 'bagus', 'banget', 'bintang', 'dmrnya', 'claimnya', 'bagus', 'efek', 'nyaman', 'pakai', 'aroma', 'sedap', 'aroma', 'aroma', 'bahan', 'kimia', 'banget', 'pakai', 'nyaman', 'makan', 'kayak', 'makan', 'bahan', 'kimia', 'bagus', 'banget', 'aroma', 'bikin', 'nyaman']"
162,semoga serasiii,semoga serasi,"['semoga', 'serasi']","['semoga', 'serasi']","['moga', 'serasi']"
163,pengiriman dan packing aman tapi produknya kurang cocok di kulit saya yang oily kemerahannya tidak pudar walau sudah mingguan menggunakan,pengiriman dan packing aman tapi produknya kurang cocok di kulit saya yang oily kemerahannya tidak pudar walau sudah mingguan menggunakan,"['pengiriman', 'dan', 'packing', 'aman', 'tapi', 'produknya', 'kurang', 'cocok', 'di', 'kulit', 'saya', 'yang', 'oily', 'kemerahannya', 'tidak', 'pudar', 'walau', 'sudah', 'mingguan', 'menggunakan']","['pengiriman', 'packing', 'aman', 'produknya', 'cocok', 'kulit', 'oily', 'kemerahannya', 'pudar', 'mingguan']","['kirim', 'packing', 'aman', 'produk', 'cocok', 'kulit', 'oily', 'merah', 'pudar', 'minggu']"
