,Review,Review_norm,review_tokens
394,produknya bagus mmg berkurang komedo itemnya cuman wkt dibilas meninggalkan residu putih jd perlu di cuci sabun lagi utk komedonya ga semua gampang di cabut terutama bagian dagu entah salah penggunaan atau gimana cuman memang ada kelihatan berkurang worthed to buy utk pakai di area hidung dan dagu saja sih sangat dikid kepakenya se kaleng ini sepertinya bisa pakai puluhan kali,produknya bagus memang berkurang komedo itemnya cuman waktu dibilas meninggalkan residu putih jadi perlu di cuci sabun lagi untuk komedonya enggak semua gampang di cabut terutama bagian dagu entah salah penggunaan atau bagaimana cuman memang ada kelihatan berkurang worthed tapi buy untuk pakai di area hidung dan dagu saja sih sangat dikid kepakenya se kaleng ini sepertinya bisa pakai puluhan kali,"['produknya', 'bagus', 'memang', 'berkurang', 'komedo', 'itemnya', 'cuman', 'waktu', 'dibilas', 'meninggalkan', 'residu', 'putih', 'jadi', 'perlu', 'di', 'cuci', 'sabun', 'lagi', 'untuk', 'komedonya', 'enggak', 'semua', 'gampang', 'di', 'cabut', 'terutama', 'bagian', 'dagu', 'entah', 'salah', 'penggunaan', 'atau', 'bagaimana', 'cuman', 'memang', 'ada', 'kelihatan', 'berkurang', 'worthed', 'tapi', 'buy', 'untuk', 'pakai', 'di', 'area', 'hidung', 'dan', 'dagu', 'saja', 'sih', 'sangat', 'dikid', 'kepakenya', 'se', 'kaleng', 'ini', 'sepertinya', 'bisa', 'pakai', 'puluhan', 'kali']"
395,pengiriman cepat pesan jumat  minggu sudah sampe lho padahal katanya jumat ngga ada pengiriman makasiiih semoga cocokkk,pengiriman cepat pesan jumat  minggu sudah sampai lho padahal katanya jumat enggak ada pengiriman makasiiih semoga cocok,"['pengiriman', 'cepat', 'pesan', 'jumat', 'minggu', 'sudah', 'sampai', 'lho', 'padahal', 'katanya', 'jumat', 'enggak', 'ada', 'pengiriman', 'makasiiih', 'semoga', 'cocok']"
396,ga paham lagi kenapa produk ini bekerjaa seeeeeegitu bagusnya jerawat yang sulit dihempaskan pun berhasil kempes bahkan hilang sama si acne war pernah ada jerawat yang ada di pelipis udah hinggap bulan ga hilang aku totol aw dan tadaaaa setelah rutin dipakai hari  dia mateng jerawatnya dan hilang gapake dipencet tinggal memudarkan bekas noda jerawat aja thank you skin game mi laf yu,enggak paham lagi kenapa produk ini bekerjaa seeeeeegitu bagusnya jerawat yang sulit dihempaskan pun berhasil kempes bahkan hilang sama sih acne war pernah ada jerawat yang ada di pelipis sudah hinggap bulan enggak hilang aku totol aw dan tadaaaa setelah rutin dipakai hari  dia mateng jerawatnya dan hilang enggak pakai dipencet tinggal memudarkan bekas noda jerawat saja thank you skin game mi laf yuk,"['enggak', 'paham', 'lagi', 'kenapa', 'produk', 'ini', 'bekerjaa', 'seeeeeegitu', 'bagusnya', 'jerawat', 'yang', 'sulit', 'dihempaskan', 'pun', 'berhasil', 'kempes', 'bahkan', 'hilang', 'sama', 'sih', 'acne', 'war', 'pernah', 'ada', 'jerawat', 'yang', 'ada', 'di', 'pelipis', 'sudah', 'hinggap', 'bulan', 'enggak', 'hilang', 'aku', 'totol', 'aw', 'dan', 'tadaaaa', 'setelah', 'rutin', 'dipakai', 'hari', 'dia', 'mateng', 'jerawatnya', 'dan', 'hilang', 'enggak', 'pakai', 'dipencet', 'tinggal', 'memudarkan', 'bekas', 'noda', 'jerawat', 'saja', 'thank', 'you', 'skin', 'game', 'mi', 'laf', 'yuk']"
397,semoga cocok ini uang terakhir tabungan ku abis buat skincaree terus ga cocok teruss kuharap ini membantu membungkam mulut mulut jahanam ibu ibu tetangga,semoga cocok ini uang terakhir tabungan ku habis buat skincaree terus enggak cocok terus kuharap ini membantu membungkam mulut mulut jahanam ibu ibu tetangga,"['semoga', 'cocok', 'ini', 'uang', 'terakhir', 'tabungan', 'ku', 'habis', 'buat', 'skincaree', 'terus', 'enggak', 'cocok', 'terus', 'kuharap', 'ini', 'membantu', 'membungkam', 'mulut', 'mulut', 'jahanam', 'ibu', 'ibu', 'tetangga']"
398,obat jerawat termantul,obat jerawat termantul,"['obat', 'jerawat', 'termantul']"
399,pertama belii semoga cocok di wajah pemrosesan dan pengiriman sangat cepat,pertama beli semoga cocok di wajah pemrosesan dan pengiriman sangat cepat,"['pertama', 'beli', 'semoga', 'cocok', 'di', 'wajah', 'pemrosesan', 'dan', 'pengiriman', 'sangat', 'cepat']"
400,nungguin restock setengah mampus skin game tidak pernah mengecewakan packaging pake kardus walaupun barangnya kecil pengemasan cukup cepat ekspedisi juga cepat thank you,menunggu restock setengah mampus skin game tidak pernah mengecewakan packaging pakai kardus walaupun barangnya kecil pengemasan cukup cepat ekspedisi juga cepat thank you,"['menunggu', 'restock', 'setengah', 'mampus', 'skin', 'game', 'tidak', 'pernah', 'mengecewakan', 'packaging', 'pakai', 'kardus', 'walaupun', 'barangnya', 'kecil', 'pengemasan', 'cukup', 'cepat', 'ekspedisi', 'juga', 'cepat', 'thank', 'you']"
401,barang datang lengkap sayang box luarnya penyok padahal bagus,barang datang lengkap sayang box luarnya penyok padahal bagus,"['barang', 'datang', 'lengkap', 'sayang', 'box', 'luarnya', 'penyok', 'padahal', 'bagus']"
402,cepet bgt pengirimannya produk oke packing eco friendly,cepat banget pengirimannya produk oke packing eco friendly,"['cepat', 'banget', 'pengirimannya', 'produk', 'oke', 'packing', 'eco', 'friendly']"
403,akhirnya datang jg yg ditunggu semoga mempan di jerawatku,akhirnya datang juga yang ditunggu semoga mempan di jerawatku,"['akhirnya', 'datang', 'juga', 'yang', 'ditunggu', 'semoga', 'mempan', 'di', 'jerawatku']"
404,semoga cocok ya bund,semoga cocok ya bunda,"['semoga', 'cocok', 'ya', 'bunda']"
405,sangatttt fast bgt deliv nya thank uuu,sangatttt fast banget deliv nya thank uuu,"['sangatttt', 'fast', 'banget', 'deliv', 'nya', 'thank', 'uuu']"
406,nyetok aw plus naik kelas ke toe seperti biasa packing mantep pengemasan dan pengiriman super cepat,nyetok aw plus naik kelas ke toe seperti biasa packing mantap pengemasan dan pengiriman super cepat,"['nyetok', 'aw', 'plus', 'naik', 'kelas', 'ke', 'toe', 'seperti', 'biasa', 'packing', 'mantap', 'pengemasan', 'dan', 'pengiriman', 'super', 'cepat']"
407,sangat cepat,sangat cepat,"['sangat', 'cepat']"
408,seneng banget akhirnya bisa beli acne warrior ini biasanya out of stock terus atau bahkan harus po kali ini udh ready stock jd ga perlu nunggu lama,senang banget akhirnya bisa beli acne warrior ini biasanya out of stock terus atau bahkan harus pre order kali ini sudah ready stock jadi enggak perlu menunggu lama,"['senang', 'banget', 'akhirnya', 'bisa', 'beli', 'acne', 'warrior', 'ini', 'biasanya', 'out', 'of', 'stock', 'terus', 'atau', 'bahkan', 'harus', 'pre', 'order', 'kali', 'ini', 'sudah', 'ready', 'stock', 'jadi', 'enggak', 'perlu', 'menunggu', 'lama']"
409,maskernya baru aku pake sekali sih belum terlalu berasa ada efek apa apa jg buat acne warriornya baru seminggu sih kupake teksturnya aneh ya  kayak lebih putty gt kaget pas pertama kali nyobain tp bagus aja sih so far senggaknya gada efek samping atau malah bikin tambah parah kl udah ada efeknya mungkin bakalan kuedit,maskernya baru aku pakai sekali sih belum terlalu berasa ada efek apa apa juga buat acne warriornya baru seminggu sih kupake teksturnya aneh ya  kayak lebih putty begitu kaget pas pertama kali mencoba tapi bagus saja sih so far senggaknya enggak ada efek samping atau malah bikin tambah parah kalo sudah ada efeknya mungkin bakalan kuedit,"['maskernya', 'baru', 'aku', 'pakai', 'sekali', 'sih', 'belum', 'terlalu', 'berasa', 'ada', 'efek', 'apa', 'apa', 'juga', 'buat', 'acne', 'warriornya', 'baru', 'seminggu', 'sih', 'kupake', 'teksturnya', 'aneh', 'ya', 'kayak', 'lebih', 'putty', 'begitu', 'kaget', 'pas', 'pertama', 'kali', 'mencoba', 'tapi', 'bagus', 'saja', 'sih', 'so', 'far', 'senggaknya', 'enggak', 'ada', 'efek', 'samping', 'atau', 'malah', 'bikin', 'tambah', 'parah', 'kalo', 'sudah', 'ada', 'efeknya', 'mungkin', 'bakalan', 'kuedit']"
410,lg dpt rejeki berupa jerawat hormon yg gede bangett dan buanyakkk sudah dicoba hari lumayan membuat matang tp memang bukan tipe yg instan mengeringkan atau meredakan peradangan akan coba sampe seminggu kedepan smoga works well,lagi dapat rejeki berupa jerawat hormon yang gede banget dan buanyakkk sudah dicoba hari lumayan membuat matang tapi memang bukan tipe yang instan mengeringkan atau meredakan peradangan akan coba sampai seminggu kedepan semoga works well,"['lagi', 'dapat', 'rejeki', 'berupa', 'jerawat', 'hormon', 'yang', 'gede', 'banget', 'dan', 'buanyakkk', 'sudah', 'dicoba', 'hari', 'lumayan', 'membuat', 'matang', 'tapi', 'memang', 'bukan', 'tipe', 'yang', 'instan', 'mengeringkan', 'atau', 'meredakan', 'peradangan', 'akan', 'coba', 'sampai', 'seminggu', 'kedepan', 'semoga', 'works', 'well']"
411,memuaskan,memuaskan,['memuaskan']
412,udh make minggu jerawat yg mendem atau engga ampuh pake ini beneran ilang walau butuh waktu beberapa hari buat ilang,sudah memakai minggu jerawat yang mendem atau enggak ampuh pakai ini benaran hilang walau butuh waktu beberapa hari buat hilang,"['sudah', 'memakai', 'minggu', 'jerawat', 'yang', 'mendem', 'atau', 'enggak', 'ampuh', 'pakai', 'ini', 'benaran', 'hilang', 'walau', 'butuh', 'waktu', 'beberapa', 'hari', 'buat', 'hilang']"
413,suka bangeeet cepet banget ngatasin jerawat gak perih sama sekali pantesan viraaal,suka banget cepat banget ngatasin jerawat enggak perih sama sekali pantesan viraaal,"['suka', 'banget', 'cepat', 'banget', 'ngatasin', 'jerawat', 'enggak', 'perih', 'sama', 'sekali', 'pantesan', 'viraaal']"
414,pengiriman cepet bgt padahal blgnya po hari pesen kmrn hari ini langsung sampe dan barang aman thankyou seller kurir,pengiriman cepat banget padahal blgnya pre order hari pesan kemarin hari ini langsung sampai dan barang aman thankyou seller kurir,"['pengiriman', 'cepat', 'banget', 'padahal', 'blgnya', 'pre', 'order', 'hari', 'pesan', 'kemarin', 'hari', 'ini', 'langsung', 'sampai', 'dan', 'barang', 'aman', 'thankyou', 'seller', 'kurir']"
415, love it thank youuu, love itu thank youuu,"['love', 'itu', 'thank', 'youuu']"
416,terbaik deeh pokoknya rednees dan acne spots di kulitku ngurang banget plus bikin jerawat yang masih mateng cepet keringnya combo terkeran dgn acne warrior,terbaik deh pokoknya rednees dan acne spots di kulitku ngurang banget plus bikin jerawat yang masih mateng cepat keringnya combo terkeran dengan acne warrior,"['terbaik', 'deh', 'pokoknya', 'rednees', 'dan', 'acne', 'spots', 'di', 'kulitku', 'ngurang', 'banget', 'plus', 'bikin', 'jerawat', 'yang', 'masih', 'mateng', 'cepat', 'keringnya', 'combo', 'terkeran', 'dengan', 'acne', 'warrior']"
417,thank you,thank you,"['thank', 'you']"
418,cepet banget pengirimanya bguss bngt dehh,cepat banget pengirimanya bguss banget deh,"['cepat', 'banget', 'pengirimanya', 'bguss', 'banget', 'deh']"
419,pengirimannya super cepet packagingnya rapi dan sesuai ekspektasi good job,pengirimannya super cepat packagingnya rapi dan sesuai ekspektasi good job,"['pengirimannya', 'super', 'cepat', 'packagingnya', 'rapi', 'dan', 'sesuai', 'ekspektasi', 'good', 'job']"
