,Review
92,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout
93,belum dicoba smg cocok
94,tipe kulitku kombinasi
95,sesuai deskripsi
96,paket aman semoga cocok
97,masalah kulitku pori besar
98,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat
99,kiriman cepat packing bagus
100,sesuai dengan deskripsi
101,tipe kulitku berminyak tipe kulitku sensitif
102,bagus bangett kulit jadi lembut
103,sudah sampai packing aman dapet free penjepit bulu mata thank youu
104,sudah sampai packing aman dapet free penjepit bulu mata thank you
105,dapet harga rb pengiriman cepat teruntuk kurir gtl terima kasih tetap mau anter walaupun udah jam malem krn hujan seharian jadi harus lemburr
106,dapet harga rb pengiriman cepat teruntuk kurir gtr terima kasih tetap mau anter walaupun udah jam malem krn hujan seharian jadi harus lemburr
107,simple buat dibawa kemana mana dan bisa dipakai tanpa cuci tangan
108,sesuai namanya matte banget bener transferproof bisa tahan seharian
109,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar wrappingnya rapih bubble wrap dan bersegel senangnya
110,bagussssssss bneran dpt kipas mini super lucuuuu semiga cocok acne hempasssss
111,tipe kulitku normal cocok pakai ini paket aman pelayanan oke ada bubble wrap
112,pas shadenya tahan seharian full coverage nahan minyak hasilnya ga kaya pake foundi tp alus alami tipe kulitku kombinasi
113,selalu jatuh cinta sama produk somethinc
114,jatuh cinta banget sama produk somethinc
115,semoga cocok packaging aman
116,kirimnya cpt brg sesuai lumayan dpt hrg flashsale packing oke bgt ada bubble plus dus sip
117,masalah kulitku jerawat baru mau coba smoga cocok
118,baru coba jadi belom ada koment
119,cepat sekali datangnya
120,paket sudah sampai packagingnya bagus meskipun order tp diberikan box jadi aman produk belum dicoba sering sering adain diskon ya kak thanks seller
121,pengemasan baik brang bagus belum dicoba semoga cocok
122,pengemasan baik tpi blum dicoba semoga cocok
123,tumben belanja banyak ga dapet bonus
124,pas dpt flash sale ok bener ringan dipakai tq ya gan
125,mantappp dapet pas flash sale cuma rban
126,ok sesuai pesanan somethinc ini lembut dan lembab tidak kering di bibir matte nya bagus
127,thank you somethinc buat giftnyaaa
128,tipe kulitku berminyak tipe kulitku kombinasi
129,isinya seuprit
130,packaging nya mantap
131,bgus bgt lg suka sm produk somethinc mksh
132,brg sesuai pesanan
133,ok
134,bagus lah istri tidak komplain
135,semoga cocok packing super aman pengiriman super cepat expired aman
136,tipe kulitku kombinasi masalah kulitku pori besar
137,imut bgt ternyata warna match untuk kulit sawo matsng ringan di gunakan ada sensasi sdikit aroma mint
138,loose powdernya oke banget sih super luv sama somethinc
139,pengiriman cpt aman tdk pecah pump up bottle lbh hygiene dari pipet texture cpt menyerap tdk lengket tdk berbau fragrance free ada sdikit rasa ketarik harus di layer pelembab yg netral soothing
140,tipe kulitku berminyak masalah kulitku jerawat cucok
141,kualitasnya okei banget ringan good coverage tapiiiiii kl keringetan jadi putih di muka
142,tipe kulitku sensitif pakai serum ini aman sih meskipun ada wanginya tapi aku suka banget mulai keliatan hasilnya seperti setelah pemakaian retinol gitu dapat harga rb oke sih
143,sesuai pesanan
144,pengirimannya agak lama
145,proses kirim cepat pesan same day jam malam dikirim hari itu jg nyampe malam pas bgt untungnya krn lg butuh buat besok paginya jarak expired cuma setahun
146,baru coba sekali dan tipis dulu ga jari bismillah semoga cocok dan berhasil baik
147,membantu banget ngurangi jerawat habis dipakek juga gaada sensasi ketarik terus busanya juga tipe yang gabanyak bubble nya
148,barang sesuai deskripsi kualitas terbaik original pengiriman ontime thanks
149,produknya ok produk cepat blend dgn warna kulit wajah sehingga terlihat natural dan tidak oily di wajah saya yg tipe berminyak
150,tipe kulitku kering tipe kulitku normal
151,sesuai order
152,teksturnya ringan kayak air cepat meresap dan minim fragrance aku suka serum ini karena ga bikin gampang break out tipe kulitku berminyak masalah kulitku pori besar
153,pengiriman ke medan cepat cuma sayangnya jasa pengirimannya kurir rekomendasi  kdg bermasalah nyasar lebih baik diperhatikan kembali bekerjasama dengan jasa pengiriman yg seperti apa baiknya karena untk ajukan komplain produk juga harus nunggu maksimal hari pembeli udh panik duluan dong klo paketnya malah nyampe ke rumah org yg ntah dmna tanpa ada kabar dari kurir tau dibilang udh diterima pembeli
154,gatal dan panas banget ga bisa tidur sudah tanya admin chat sblmnya keluhan muka saya dan direkomendasi in beli ini cuma  pakai gatal banget tengah malem bangun ga kuat sampe cuci muka lagi
