,Review
0,no review found
1,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar
2,tipe kulitku sensitif
3,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok yaa
4,kotaknya penyok untung pake bubble wrap yg tebal barang aman deh
5,for the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii 
6,enak bahannya lebih cocok daripada formula lama muka gak benyek bgt
7,gentle moist dan isinya banyak love the new packaging
8,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller
9,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pake ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman
10,agak kecewa sama pelayanan kali ini berhari nggak dikirim setelah kita chat kalau mau batalin biar bisa ganti one day shipping karena udah mepet mau dipake travelling malah besokannya langsung dikirim pakai pengiriman awal yg regular alhasil barangnya malah jadi nggak kepake karena telat sampai
11,no review found
12,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi
13,josssss gandosss
14,melembapkan bruntusan ku di dahi hilang pakek ini
15,cocok banget
16,selalu bagus
17,packaging rapi dan aman thank you seller
18,proses dikirimnya lama barang so far oke oke saja packingnya super aman
19,prodak yg dikirim sesuai pesanan
20,nice
21,no review found
22,kerennn
23,no review found
24,pengiriman sengaja pakai gosend biar cepat tapi ternyata ga dikirim setelah hari malah disuruh reorder dengan alasan bakal dapet kompensasi taunya pas reorder sampenya pun malam bgt kompensasi yg dijanjikan gada udh beberapa kali beli baru kali ini kecewa
25,cepat meresap ringan di kulit wajah cuman buat dryskin krg melembabkan tapi enak buat prep sblm makeup
26,seller sangat cepat memproses barang packing sangat baik dan aman reliable sangat
27,cocok di kulit normal
28,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh
29,akhirnya mendarat pelembab kesayangan
30,mantap pesanan sesuai dan seller responsif packing aman banget tebal bravo seller
31,packagingnya bisa diperbaiki ya untungnya barangnya aman tapi tadi tinggal selipin aja udah keambil barangnya kalau dari produknya semoga awet dan cocok ya
32,waotery ok
33,ringan diaku yg kulitnya kering malah gak cuco tumbuh jerawat bergantian tp di adik aku th yg kombinasi malah cucooo aman wkt itu cekot pas masi packaging lama gak lama mereka ganti packaging harganya lumayan yahh good deal utk aku
34,kemasan ok
35,favorite gampang kempess emang baunya sih yg ganggu tapi worth it
36,kaget banget moisturizernya udah berevolusi sesuai skin type udah cocok banget sama moisturizer sebelumnya dan ini pertama kali mau coba yang versi ini semoga hasilnya bagus juga terima kasih seller
37,mantaaaaab semoga cocok
38,lagi banyak bekas jerawat semoga cocokkk
39,luv
40,baju barunya cantik banget keliatan mewah jadinya kualitas produknya juga gausa diragukan lagi bagus banget semenjak pake moist dari skin game kulitku jadi better ini repurchase kedua aku dan keknya bakal repurchase terus  packagingnya juga aman banget pake bubble wrap kardus thanks seller
41,baru semingguan coba dan ternyata enak banget bikin kulit muka jadi lumayan moist kebetulan tipe kulitku kombinasi tapi lagi lumayan kering di sekitar dahi dan pipi jadi skingame ini ngebantu banget buat nenangin kulit yang lagi kerontang banget efek lainnya belum keliatan tapi bikin jerawat jadi cepet mateng juga recommended krn bahannya ga macem jadi cocok buat yang lagi butuh moisturizer dan perbaikin skin barrier
42,mari kita coba pelayanannya oke
43,barang aman bubble wrap tebal kualitas terjaga semoga reformulasi ini lebih oke daripada formula sebelumnya
44,mnatap walau agak berbeda dari versi sebelumnya semoga cocok
45,safely arrived semoga cocok
46,ringan dan mudah menyerapp
47,skintype oily acne prone pake ini sesuai ringan bagus
48,gais aku preloved punyaku klo ada yg mau aku jual murah aja kondisi masih msih ada box dijual karna ngrsa ga cocok
49,moisturizer brand apapun yg aku coba pasti bakal balik kesini and she  back with  new packaging thank you skin game for being my most holy grail moisturizer  might try the cream one too soon
50,sejauh ini make dari skingame ada sampe sekarang cocok aku tipe kulit yg sensitif banget ada pie jg pake ini nyaman dipake gk ada efek samping
51,belum dicoba semoga cocok tp tmn aku uda pake ini dan tipe kulit kita hampir sama semoga cocok juga
52,baguss banget packingnyaa feels secured danaman banget the product itself is pretty bulky tapi ga gampang bocorr jd gaperlu khawatirr aku baru coba bbrp harii so  couldnt rlly tell  if it works or nott but overall  rlly like their products
53,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana
54,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya
55,cocok di kulit berminyak kemasannya lucu
56,bahannya ringan cepet meresap terus packaging nya ok banget
57,terima kasih banyak paket sudah sampai dengan selamat
58,barang bagus sesuai packing mantap terima kasih
59,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi
60,produk sangat bangus langsung menyerap dan membuat lembab
61,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman
62,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended
63,baru pertama kali beli skin game mudah mudahan cocok
64,no review found
65,akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya
66,baguss semoga cocok
67,baru mau dicoba semoga cocok
68,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya
69,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou
70,baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada
71,dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu
72,barang sampai dgn selamat packagingnya jg aman semoga cocok
73,warna nya kuning entah karena apa
74,baru pertama kali coba semoga cocok thank you seller
75,barang sampai dgn selamat
76,packing rapi dan aman barang sesuai pesenan
77,this moisturizer is seriously  game changer  love how one bottle could last me months
78,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus
79,ringan bgt waktu di apply cocok buat kulit berminyak moist parahh
80,botol keduaaa aslii butuh bulan untuk habisin botol pertama cocok bgt di kulit oilyy mudah meresap dan menurutku mudah meredakan jerawat juga sii packaging aman dan rapiiih bangett luuvvv
81,bagusss delivery lumayan lama
82,no review found
83,lagi nyoba nih pertama kali udah make harian wow aku suka banget teksturnyaa oilyskin friendly banget luvvv nanti kalo udah abis aku mau beli yang gede
84,product bagus harga promo dapet cashback
85,pengemasannya cepat dan aman baru nyobain moisturizernya dan so far aman mungkin bakal repurchase lagi nanti thank you
86,thanks mau dicoba dulu produknya
87,no review found
88,pumpnya jelek sekali pas dipakai malah muncrat uda habis botol tp belum ada perubahan untuk kulit jerawat sedang
89,seperti megecil
90,baunya mild tekstur gel mudah meresap exp nya masih
91,love banget sama pelayanannya
92,expired
93,packaging bagus beda dari moisturizer kebanyakan teksturnya gel kental pas dioles ada sensasi dinginnya dan cepat meresap cukup kali pump bisa untuk pemakaian seluruh wajah kayaknya bakalan irit banget ini pemakaiannya semoga cocok di kulit wajah aku ya
94,belum dicoba semoga cocok pengiriman cepat packing aman trmaksih
95,repurchase kedua kali
96,moisturizer favorit
97,ringan dan melembabkan bener bener ga salah buat coba
98,first impression botolnya cantik amat woy plisss buat produknya sebenernya ga bisa di ulas sih ya karena baru pakai tapi moisturizernya cepet meresap dan yaa gimana moisturizer pada umumnya melembabkan
99,no review found
100,teksturnya ringan mudah merasap baru pertama kali coba semoga cocok di kulit aku packingnya aman bgt dikasih box trus pake bubble wrap
101,baru mau coba tipe kulit kering sensitive semoga cocok
102,tipe kulitku oily ini oke banget di kulit kelembaban nya oke buat seharian dan teksturnya ringan banget cepat meresap udah gitu isinya banyak
103,no review found
104,ini tube kedua aku dan aku cocok banget sama produknya ringan enak banget dipakenya dan ngelembabin kulit aku tipe oily dan ini cukup dipake malem aja sampe siangnya masih ngelembabin banget
105,enak bagus tp sayang mahal
106,no review found
107,cocokan aja klo produknya soal pelayanan pengiriman kemasan semua okay
108,bahan ringan dan mudah menyerap di kukit
109,ukuran lebi kecil tp awet ajaaa
110,aku belum pernah coba tp suka pengirimannya cepetttt
111,botol kedua cocok buat di kulit jerawat dan berminyak ringan cepet meresap ml awet bgt bs bulanan thanks seller
112,fast delivery dan sesuai barangnya akan update terkait kecocokannya
113,suka bgt sama formula nya yg gampang ngeresap kekulit dan ringan bgt pokoknya luv bgt
114,produk sesuai deskripsi proses cepat  dikemas sangat aman top deh makasih  sukses selalu
115,beralih kesini ringan dan cocok buat kulit yg rada sensitif kyak gw
116,terima kasih
117,cocok di kulit berminyak kerasa melembapkan tapi tidak berat di wajah
