,Review,Review_norm,review_tokens
0,no review found,no review found,"['no', 'review', 'found']"
1,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,"['ini', 'parah', 'banget', 'seller', 'dan', 'pengiriman', 'kurir', 'sudah', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'sampai', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'tolong', 'hargai', 'customer', 'dengan', 'dapat', 'membungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']"
2,tipe kulitku sensitif,tipe kulitku sensitif,"['tipe', 'kulitku', 'sensitif']"
3,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok yaa,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok ya,"['baru', 'pertama', 'kali', 'coba', 'baca', 'review', 'banyak', 'yang', 'kasih', 'nilai', 'bagus', 'semoga', 'cocok', 'ya']"
4,kotaknya penyok untung pake bubble wrap yg tebal barang aman deh,kotaknya penyok untung pakai bubble wrap yang tebal barang aman deh,"['kotaknya', 'penyok', 'untung', 'pakai', 'bubble', 'wrap', 'yang', 'tebal', 'barang', 'aman', 'deh']"
5,for the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii ,for the first time mau mencoba moisturizer viral ini semoga cocok deh sama bumil ini ,"['for', 'the', 'first', 'time', 'mau', 'mencoba', 'moisturizer', 'viral', 'ini', 'semoga', 'cocok', 'deh', 'sama', 'bumil', 'ini']"
6,enak bahannya lebih cocok daripada formula lama muka gak benyek bgt,enak bahannya lebih cocok daripada formula lama muka enggak benyek banget,"['enak', 'bahannya', 'lebih', 'cocok', 'daripada', 'formula', 'lama', 'muka', 'enggak', 'benyek', 'banget']"
7,gentle moist dan isinya banyak love the new packaging,gentle moist dan isinya banyak love the new packaging,"['gentle', 'moist', 'dan', 'isinya', 'banyak', 'love', 'the', 'new', 'packaging']"
8,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller,"['bahannya', 'ringan', 'lembab', 'dan', 'ukuran', 'cocok', 'untuk', 'dibawa', 'traveling', 'thank', 'you', 'seller']"
9,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pake ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pakai ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'aku', 'cocok', 'pakai', 'ini', 'hasilnya', 'melembabkan', 'dan', 'alhamdulillah', 'sejauh', 'ini', 'di', 'kulit', 'aman']"
10,agak kecewa sama pelayanan kali ini berhari nggak dikirim setelah kita chat kalau mau batalin biar bisa ganti one day shipping karena udah mepet mau dipake travelling malah besokannya langsung dikirim pakai pengiriman awal yg regular alhasil barangnya malah jadi nggak kepake karena telat sampai,agak kecewa sama pelayanan kali ini berhari enggak dikirim setelah kita chat kalau mau batalin biar bisa ganti one day shipping karena sudah mepet mau dipakai travelling malah besokannya langsung dikirim pakai pengiriman awal yang regular alhasil barangnya malah jadi enggak terpakai karena telat sampai,"['agak', 'kecewa', 'sama', 'pelayanan', 'kali', 'ini', 'berhari', 'enggak', 'dikirim', 'setelah', 'kita', 'chat', 'kalau', 'mau', 'batalin', 'biar', 'bisa', 'ganti', 'one', 'day', 'shipping', 'karena', 'sudah', 'mepet', 'mau', 'dipakai', 'travelling', 'malah', 'besokannya', 'langsung', 'dikirim', 'pakai', 'pengiriman', 'awal', 'yang', 'regular', 'alhasil', 'barangnya', 'malah', 'jadi', 'enggak', 'terpakai', 'karena', 'telat', 'sampai']"
11,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'kombinasi']"
12,josssss gandosss,jos gandos,"['jos', 'gandos']"
13,melembapkan bruntusan ku di dahi hilang pakek ini,melembapkan bruntusan ku di dahi hilang pakai ini,"['melembapkan', 'bruntusan', 'ku', 'di', 'dahi', 'hilang', 'pakai', 'ini']"
14,cocok banget,cocok banget,"['cocok', 'banget']"
15,selalu bagus,selalu bagus,"['selalu', 'bagus']"
16,packaging rapi dan aman thank you seller,packaging rapi dan aman thank you seller,"['packaging', 'rapi', 'dan', 'aman', 'thank', 'you', 'seller']"
17,proses dikirimnya lama barang so far oke oke saja packingnya super aman,proses dikirimnya lama barang so far oke oke saja packingnya super aman,"['proses', 'dikirimnya', 'lama', 'barang', 'so', 'far', 'oke', 'oke', 'saja', 'packingnya', 'super', 'aman']"
