,Review,Review_norm,review_tokens,review_tokens_SR
145,setelah pakai beberapa lumayan terhidrasi sesuai dengan yang ku bayangkan ku berminyak tapi hasilnya ga berminyak banget seperti nya penggunaan serum bisa lebih cepat bekerja dengan tambahan moisturizer ini awal pake ada muncul jerawat mungkin belum terbiasa jadi muncul tapi nggak parah purging aja po nya cepet kok nggak pake lama kirain bakal sampe dapet snack  next time kalau order lagi yg rasa matcha ya min,setelah pakai beberapa lumayan terhidrasi sesuai dengan yang ku bayangkan ku berminyak tapi hasilnya enggak berminyak banget seperti nya penggunaan serum bisa lebih cepat bekerja dengan tambahan moisturizer ini awal pakai ada muncul jerawat mungkin belum terbiasa jadi muncul tapi enggak parah purging saja pre order nya cepat kok enggak pakai lama mengira bakal sampai dapat snack  next time kalau order lagi yang rasa matcha ya min,"['setelah', 'pakai', 'beberapa', 'lumayan', 'terhidrasi', 'sesuai', 'dengan', 'yang', 'ku', 'bayangkan', 'ku', 'berminyak', 'tapi', 'hasilnya', 'enggak', 'berminyak', 'banget', 'seperti', 'nya', 'penggunaan', 'serum', 'bisa', 'lebih', 'cepat', 'bekerja', 'dengan', 'tambahan', 'moisturizer', 'ini', 'awal', 'pakai', 'ada', 'muncul', 'jerawat', 'mungkin', 'belum', 'terbiasa', 'jadi', 'muncul', 'tapi', 'enggak', 'parah', 'purging', 'saja', 'pre', 'order', 'nya', 'cepat', 'kok', 'enggak', 'pakai', 'lama', 'mengira', 'bakal', 'sampai', 'dapat', 'snack', 'next', 'time', 'kalau', 'order', 'lagi', 'yang', 'rasa', 'matcha', 'ya', 'min']","['pakai', 'beberapa', 'lumayan', 'terhidrasi', 'sesuai', 'ku', 'bayangkan', 'ku', 'berminyak', 'hasilnya', 'enggak', 'berminyak', 'banget', 'nya', 'penggunaan', 'serum', 'lebih', 'cepat', 'bekerja', 'tambahan', 'moisturizer', 'awal', 'pakai', 'muncul', 'jerawat', 'mungkin', 'terbiasa', 'jadi', 'muncul', 'enggak', 'parah', 'purging', 'pre', 'order', 'nya', 'cepat', 'kok', 'enggak', 'pakai', 'lama', 'mengira', 'bakal', 'snack', 'next', 'time', 'kalau', 'order', 'rasa', 'matcha', 'min']"
146,sampai dengan baikkk enak dipakai lgsg meresap dan juga ringan betulll dapet freebies jugak lagiiii,sampai dengan baik enak dipakai langsung meresap dan juga ringan betul dapat freebies juga lagi,"['sampai', 'dengan', 'baik', 'enak', 'dipakai', 'langsung', 'meresap', 'dan', 'juga', 'ringan', 'betul', 'dapat', 'freebies', 'juga', 'lagi']","['baik', 'enak', 'dipakai', 'langsung', 'meresap', 'ringan', 'betul', 'freebies']"
147,kalo ga dichat pesanan engga di konfirm kalo engga di chat barang pasti ga dianter paket tiba diluar estimasi sampai dng kurir next day padahal lgi butuh cepat,kalo enggak dichat pesanan enggak di konfirmasi kalo enggak di chat barang pasti enggak diantar paket tiba diluar estimasi sampai dengan kurir next day padahal lagi butuh cepat,"['kalo', 'enggak', 'dichat', 'pesanan', 'enggak', 'di', 'konfirmasi', 'kalo', 'enggak', 'di', 'chat', 'barang', 'pasti', 'enggak', 'diantar', 'paket', 'tiba', 'diluar', 'estimasi', 'sampai', 'dengan', 'kurir', 'next', 'day', 'padahal', 'lagi', 'butuh', 'cepat']","['kalo', 'enggak', 'dichat', 'pesanan', 'enggak', 'konfirmasi', 'kalo', 'enggak', 'chat', 'barang', 'enggak', 'diantar', 'paket', 'tiba', 'diluar', 'estimasi', 'kurir', 'next', 'day', 'padahal', 'butuh', 'cepat']"
148,ini pertama kali nyoba product skin game enak bgt di kulit gampang menyerap keren bgt skin game,ini pertama kali mencoba product skin game enak banget di kulit gampang menyerap keren banget skin game,"['ini', 'pertama', 'kali', 'mencoba', 'product', 'skin', 'game', 'enak', 'banget', 'di', 'kulit', 'gampang', 'menyerap', 'keren', 'banget', 'skin', 'game']","['pertama', 'kali', 'mencoba', 'product', 'skin', 'game', 'enak', 'banget', 'kulit', 'gampang', 'menyerap', 'keren', 'banget', 'skin', 'game']"
149,akhirnya datenggg lucu banget dikasi bonus snack thank you skingame semoga cocok sama moisturizer nya,akhirnya datang lucu banget dikasih bonus snack thank you skingame semoga cocok sama moisturizer nya,"['akhirnya', 'datang', 'lucu', 'banget', 'dikasih', 'bonus', 'snack', 'thank', 'you', 'skingame', 'semoga', 'cocok', 'sama', 'moisturizer', 'nya']","['akhirnya', 'datang', 'lucu', 'banget', 'dikasih', 'bonus', 'snack', 'thank', 'you', 'skingame', 'semoga', 'cocok', 'sama', 'moisturizer', 'nya']"
150,udah pembelian yang kesekian kali recommended banget buat yang cari pelembab ringan untuk kulit normal berminyak ya sediannya gel yang ringan gak menyumbat pori bahannya ada ceramide buat anti aging yang umur udah up pre order hari tapi sebelum minggu udah dikirim dikasih hadiah lagi wah thank you banget ya,sudah pembelian yang kesekian kali recommended banget buat yang cari pelembab ringan untuk kulit normal berminyak ya sediannya gel yang ringan enggak menyumbat pori bahannya ada ceramide buat anti aging yang umur sudah up pre order hari tapi sebelum minggu sudah dikirim dikasih hadiah lagi wah thank you banget ya,"['sudah', 'pembelian', 'yang', 'kesekian', 'kali', 'recommended', 'banget', 'buat', 'yang', 'cari', 'pelembab', 'ringan', 'untuk', 'kulit', 'normal', 'berminyak', 'ya', 'sediannya', 'gel', 'yang', 'ringan', 'enggak', 'menyumbat', 'pori', 'bahannya', 'ada', 'ceramide', 'buat', 'anti', 'aging', 'yang', 'umur', 'sudah', 'up', 'pre', 'order', 'hari', 'tapi', 'sebelum', 'minggu', 'sudah', 'dikirim', 'dikasih', 'hadiah', 'lagi', 'wah', 'thank', 'you', 'banget', 'ya']","['pembelian', 'kesekian', 'kali', 'recommended', 'banget', 'buat', 'cari', 'pelembab', 'ringan', 'kulit', 'normal', 'berminyak', 'sediannya', 'gel', 'ringan', 'enggak', 'menyumbat', 'pori', 'bahannya', 'ceramide', 'buat', 'anti', 'aging', 'umur', 'up', 'pre', 'order', 'hari', 'minggu', 'dikirim', 'dikasih', 'hadiah', 'wah', 'thank', 'you', 'banget']"
151,awww thank  for the freebie mingem and as you said kulitku berjodoh sama kind moisturizer,awww thank  for the freebie mingem and as you said kulitku berjodoh sama kind moisturizer,"['awww', 'thank', 'for', 'the', 'freebie', 'mingem', 'and', 'as', 'you', 'said', 'kulitku', 'berjodoh', 'sama', 'kind', 'moisturizer']","['awww', 'thank', 'for', 'the', 'freebie', 'mingem', 'and', 'as', 'you', 'said', 'kulitku', 'berjodoh', 'sama', 'kind', 'moisturizer']"
152,kena racun di twitter sama temenku yg pake karena tulisannya po hari aku ga ngecek lagi  tbtb udah sampee seneng bangeeet terima kasih juga bonusnya mingem tekstur moistnya enak ringaan bangeet mana botolnya segede pc  love banget pokoknya,kena racun di twitter sama temenku yang pakai karena tulisannya pre order hari aku enggak mengecek lagi  tiba-tiba sudah sampai senang banget terima kasih juga bonusnya mingem tekstur moistnya enak ringan banget mana botolnya segede pc  love banget pokoknya,"['kena', 'racun', 'di', 'twitter', 'sama', 'temenku', 'yang', 'pakai', 'karena', 'tulisannya', 'pre', 'order', 'hari', 'aku', 'enggak', 'mengecek', 'lagi', 'tiba-tiba', 'sudah', 'sampai', 'senang', 'banget', 'terima', 'kasih', 'juga', 'bonusnya', 'mingem', 'tekstur', 'moistnya', 'enak', 'ringan', 'banget', 'mana', 'botolnya', 'segede', 'pc', 'love', 'banget', 'pokoknya']","['kena', 'racun', 'twitter', 'sama', 'temenku', 'pakai', 'tulisannya', 'pre', 'order', 'hari', 'aku', 'enggak', 'mengecek', 'tiba-tiba', 'senang', 'banget', 'terima', 'kasih', 'bonusnya', 'mingem', 'tekstur', 'moistnya', 'enak', 'ringan', 'banget', 'mana', 'botolnya', 'segede', 'pc', 'love', 'banget', 'pokoknya']"
153,terima kasih buat snacknya,terima kasih buat snacknya,"['terima', 'kasih', 'buat', 'snacknya']","['terima', 'kasih', 'buat', 'snacknya']"
154,ini aku baru mau nyoba semoga cocok di kulit aku ya min dan kaget banget barangnya udah sampe dengan selamat dan cepet harusnya tiba akhir bulan ini tapi ternyata lebih cepet datengnya dan juga dikasih gift dong miminnya baik hati sekalih terimakasih min,ini aku baru mau mencoba semoga cocok di kulit aku ya min dan kaget banget barangnya sudah sampai dengan selamat dan cepat harusnya tiba akhir bulan ini tapi ternyata lebih cepat datengnya dan juga dikasih gift dong miminnya baik hati sekalih terima kasih min,"['ini', 'aku', 'baru', 'mau', 'mencoba', 'semoga', 'cocok', 'di', 'kulit', 'aku', 'ya', 'min', 'dan', 'kaget', 'banget', 'barangnya', 'sudah', 'sampai', 'dengan', 'selamat', 'dan', 'cepat', 'harusnya', 'tiba', 'akhir', 'bulan', 'ini', 'tapi', 'ternyata', 'lebih', 'cepat', 'datengnya', 'dan', 'juga', 'dikasih', 'gift', 'dong', 'miminnya', 'baik', 'hati', 'sekalih', 'terima', 'kasih', 'min']","['aku', 'baru', 'mau', 'mencoba', 'semoga', 'cocok', 'kulit', 'aku', 'min', 'kaget', 'banget', 'barangnya', 'selamat', 'cepat', 'harusnya', 'tiba', 'akhir', 'bulan', 'ternyata', 'lebih', 'cepat', 'datengnya', 'dikasih', 'gift', 'dong', 'miminnya', 'baik', 'hati', 'sekalih', 'terima', 'kasih', 'min']"
